"","BMPS.MI.Open","BMPS.MI.High","BMPS.MI.Low","BMPS.MI.Close","BMPS.MI.Volume","BMPS.MI.Adjusted"
"2001-01-02",0.05114,0.05114,0.0491,0.0505,106300,99.60295
"2001-01-03",0.04921,0.0505,0.04921,0.05029,104700,99.1789
"2001-01-04",0.04975,0.05061,0.04867,0.04986,250100,98.33149
"2001-01-05",0.04889,0.05061,0.04803,0.05039,376800,99.39093
"2001-01-08",0.04964,0.0505,0.04964,0.0505,167200,99.60295
"2001-01-09",0.05039,0.05104,0.04986,0.0505,145800,99.60295
"2001-01-10",0.05018,0.05082,0.04996,0.05039,185300,99.39093
"2001-01-11",0.05007,0.05125,0.04975,0.05114,182200,100.87412
"2001-01-12",0.05093,0.05114,0.05039,0.05082,117400,100.23903
"2001-01-15",0.05039,0.05147,0.05039,0.05136,92800,101.29818
"2001-01-16",0.05082,0.05125,0.0505,0.05093,122300,100.45106
"2001-01-17",0.05082,0.05157,0.0505,0.05125,385400,101.08615
"2001-01-18",0.05093,0.05319,0.05093,0.05254,464400,103.62947
"2001-01-19",0.0534,0.0534,0.05233,0.05233,316200,103.20542
"2001-01-22",0.05211,0.05426,0.052,0.05394,278600,106.38483
"2001-01-23",0.05372,0.05415,0.05308,0.05372,174300,105.96077
"2001-01-24",0.0534,0.05383,0.05254,0.05362,323500,105.74875
"2001-01-25",0.0534,0.05394,0.05286,0.05362,172600,105.74875
"2001-01-26",0.05308,0.05405,0.05265,0.05362,162300,105.74875
"2001-01-29",0.05329,0.05458,0.05308,0.05458,159200,107.656
"2001-01-30",0.05415,0.05469,0.05351,0.05469,239000,107.86802
"2001-01-31",0.05448,0.05577,0.05351,0.05448,535900,107.44397
"2001-02-01",0.05351,0.05394,0.05233,0.05319,278600,104.90065
"2001-02-02",0.05297,0.05308,0.05104,0.05147,507800,101.5102
"2001-02-05",0.05179,0.05233,0.05104,0.05233,245000,103.20542
"2001-02-06",0.05233,0.05233,0.05157,0.05179,228300,102.14628
"2001-02-07",0.05168,0.05168,0.05029,0.05136,733300,101.29818
"2001-02-08",0.052,0.052,0.05093,0.05168,209200,101.93425
"2001-02-09",0.05114,0.05157,0.05018,0.05072,298600,100.027
"2001-02-12",0.05082,0.05157,0.05039,0.05125,255800,101.08615
"2001-02-13",0.05093,0.05104,0.05039,0.05082,212500,100.23903
"2001-02-14",0.05029,0.05136,0.05029,0.05114,155600,100.87412
"2001-02-15",0.05082,0.05211,0.05072,0.05147,274700,101.5102
"2001-02-16",0.05061,0.05136,0.05007,0.0505,410200,99.60295
"2001-02-19",0.05072,0.05147,0.0505,0.05147,283100,101.5102
"2001-02-20",0.05147,0.05147,0.04964,0.04986,120100,98.33149
"2001-02-21",0.05007,0.0505,0.04889,0.04986,219500,98.33149
"2001-02-22",0.04953,0.05018,0.04835,0.04943,189900,97.48377
"2001-02-23",0.049,0.04932,0.04792,0.049,135700,96.63607
"2001-02-26",0.04932,0.04986,0.04889,0.04943,117200,97.48377
"2001-02-27",0.0491,0.05018,0.04857,0.04953,126500,97.6957
"2001-02-28",0.0491,0.05082,0.04889,0.05007,214000,98.75485
"2001-03-01",0.0505,0.0505,0.04932,0.04986,213200,98.33149
"2001-03-02",0.04921,0.04953,0.04749,0.04792,207600,94.51689
"2001-03-05",0.04878,0.04878,0.04663,0.04749,254100,93.66918
"2001-03-06",0.04738,0.04781,0.0462,0.04781,414200,94.30496
"2001-03-07",0.0476,0.04857,0.04728,0.04835,317100,95.3646
"2001-03-08",0.04824,0.04857,0.04771,0.04835,162400,95.3646
"2001-03-09",0.04781,0.04846,0.04513,0.04674,563400,92.18578
"2001-03-12",0.04566,0.04577,0.04395,0.04502,384300,88.79504
"2001-03-13",0.04405,0.04491,0.04405,0.04448,141600,87.73541
"2001-03-14",0.04448,0.04448,0.04201,0.04352,443000,85.82806
"2001-03-15",0.04287,0.04341,0.04223,0.0433,224900,85.4042
"2001-03-16",0.04244,0.04287,0.04158,0.0418,685700,82.43732
"2001-03-19",0.04137,0.04266,0.04137,0.04255,114400,83.92081
"2001-03-20",0.04255,0.04319,0.0418,0.0418,179500,82.43732
"2001-03-21",0.04147,0.04158,0.03997,0.04029,338700,79.47043
"2001-03-22",0.04008,0.04019,0.03771,0.03793,133800,74.80822
"2001-03-23",0.03847,0.03922,0.03782,0.03922,198500,77.35126
"2001-03-26",0.03965,0.04094,0.0389,0.04072,140500,80.31815
"2001-03-27",0.04094,0.04276,0.04019,0.04244,289700,83.70889
"2001-03-28",0.0419,0.04352,0.04137,0.04287,288800,84.55659
"2001-03-29",0.04212,0.04405,0.04212,0.04405,131200,86.8877
"2001-03-30",0.04405,0.04481,0.04352,0.04395,170700,86.67577
"2001-04-02",0.04384,0.04459,0.04244,0.04266,287600,84.13274
"2001-04-03",0.0419,0.04233,0.04061,0.04094,442900,80.74199
"2001-04-04",0.04029,0.04169,0.04019,0.04147,566600,81.80163
"2001-04-05",0.0419,0.04298,0.0418,0.04244,364500,83.70889
"2001-04-06",0.04255,0.04276,0.0419,0.04212,255900,83.0731
"2001-04-09",0.04212,0.04276,0.0419,0.04276,203400,84.34467
"2001-04-10",0.04244,0.04319,0.04201,0.04201,366600,82.86117
"2001-04-11",0.04223,0.04319,0.04223,0.04287,178500,84.55659
"2001-04-12",0.04244,0.04384,0.04244,0.04352,144100,85.82806
"2001-04-17",0.04298,0.04384,0.04255,0.04384,124800,86.46384
"2001-04-18",0.04384,0.04481,0.04352,0.04438,176500,87.52348
"2001-04-19",0.0447,0.0447,0.04352,0.04427,158900,87.31155
"2001-04-20",0.0447,0.0447,0.04319,0.04384,245300,86.46384
"2001-04-23",0.04341,0.04373,0.04319,0.04373,140900,86.25192
"2001-04-24",0.0433,0.04448,0.0433,0.04384,429100,86.46384
"2001-04-25",0.04352,0.0447,0.04352,0.0447,238300,88.15926
"2001-04-26",0.0447,0.0447,0.04352,0.04405,149400,86.8877
"2001-04-27",0.04384,0.04448,0.04352,0.04448,133800,87.73541
"2001-04-30",0.04384,0.04438,0.04352,0.04438,171800,87.52348
"2001-05-02",0.04405,0.04427,0.04373,0.04416,140600,87.09962
"2001-05-03",0.04438,0.04438,0.04373,0.04416,81500,87.09962
"2001-05-04",0.04384,0.04427,0.04373,0.04405,122500,86.8877
"2001-05-07",0.04405,0.04438,0.04384,0.04438,98500,87.52348
"2001-05-08",0.04395,0.04524,0.04395,0.04481,754000,88.37119
"2001-05-09",0.04513,0.04609,0.04502,0.04599,378600,90.7023
"2001-05-10",0.04609,0.04663,0.04534,0.04642,233300,91.55
"2001-05-11",0.04609,0.04674,0.04588,0.04609,137900,90.91422
"2001-05-14",0.04566,0.04663,0.04534,0.04663,267600,91.97386
