"","BPE.MI.Open","BPE.MI.High","BPE.MI.Low","BPE.MI.Close","BPE.MI.Volume","BPE.MI.Adjusted"
"2001-01-02",10.90189,10.90189,10.90189,10.90189,20700,2.23395
"2001-01-03",11.05333,11.05333,11.05333,11.05333,18100,2.26498
"2001-01-04",11.20476,11.20476,11.20476,11.20476,34900,2.29601
"2001-01-05",11.23509,11.23509,11.23509,11.23509,30100,2.30222
"2001-01-08",11.2501,11.2501,11.2501,11.2501,25000,2.3053
"2001-01-09",11.2501,11.2501,11.2501,11.2501,21200,2.3053
"2001-01-10",11.2501,11.2501,11.2501,11.2501,16900,2.3053
"2001-01-11",11.2501,11.2501,11.2501,11.2501,14600,2.3053
"2001-01-12",11.2501,11.2501,11.2501,11.2501,142700,2.3053
"2001-01-15",11.26531,11.26531,11.26531,11.26531,11800,2.30842
"2001-01-16",11.26531,11.26531,11.26531,11.26531,12800,2.30842
"2001-01-17",11.26531,11.26531,11.26531,11.26531,22700,2.30842
"2001-01-18",11.26531,11.26531,11.26531,11.26531,13800,2.30842
"2001-01-19",11.29554,11.29554,11.29554,11.29554,11800,2.31461
"2001-01-22",11.28043,11.28043,11.28043,11.28043,22900,2.31151
"2001-01-23",11.28043,11.28043,11.28043,11.28043,17000,2.31151
"2001-01-24",11.28043,11.28043,11.28043,11.28043,16300,2.31151
"2001-01-25",11.29554,11.29554,11.29554,11.29554,6000,2.31461
"2001-01-26",11.26531,11.26531,11.26531,11.26531,25100,2.30842
"2001-01-29",11.26531,11.26531,11.26531,11.26531,20400,2.30842
"2001-01-30",11.26531,11.26531,11.26531,11.26531,22400,2.30842
"2001-01-31",11.26531,11.26531,11.26531,11.26531,18600,2.30842
"2001-02-01",11.26531,11.26531,11.26531,11.26531,15700,2.30842
"2001-02-02",11.26531,11.26531,11.26531,11.26531,18200,2.30842
"2001-02-05",11.26531,11.26531,11.26531,11.26531,20800,2.30842
"2001-02-06",11.26531,11.26531,11.26531,11.26531,24400,2.30842
"2001-02-07",11.2501,11.2501,11.2501,11.2501,24800,2.3053
"2001-02-08",11.2501,11.2501,11.2501,11.2501,27100,2.3053
"2001-02-09",11.2501,11.2501,11.2501,11.2501,22000,2.3053
"2001-02-12",11.23509,11.23509,11.23509,11.23509,25800,2.30222
"2001-02-13",11.23509,11.23509,11.23509,11.23509,27200,2.30222
"2001-02-14",11.23509,11.23509,11.23509,11.23509,23100,2.30222
"2001-02-15",11.23509,11.23509,11.23509,11.23509,20300,2.30222
"2001-02-16",11.23509,11.23509,11.23509,11.23509,27700,2.30222
"2001-02-19",11.23509,11.23509,11.23509,11.23509,16600,2.30222
"2001-02-20",11.23509,11.23509,11.23509,11.23509,17500,2.30222
"2001-02-21",11.23509,11.23509,11.23509,11.23509,21300,2.30222
"2001-02-22",11.23509,11.23509,11.23509,11.23509,21100,2.30222
"2001-02-23",11.23509,11.23509,11.23509,11.23509,14100,2.30222
"2001-02-26",11.2501,11.2501,11.2501,11.2501,12400,2.3053
"2001-02-27",11.2501,11.2501,11.2501,11.2501,18300,2.3053
"2001-02-28",11.2501,11.2501,11.2501,11.2501,12300,2.3053
"2001-03-01",11.26531,11.26531,11.26531,11.26531,15800,2.30842
"2001-03-02",11.26531,11.26531,11.26531,11.26531,12800,2.30842
"2001-03-05",11.26531,11.26531,11.26531,11.26531,16900,2.30842
"2001-03-06",11.26531,11.26531,11.26531,11.26531,11600,2.30842
"2001-03-07",11.2501,11.2501,11.2501,11.2501,16100,2.3053
"2001-03-08",11.2501,11.2501,11.2501,11.2501,12800,2.3053
"2001-03-09",11.2501,11.2501,11.2501,11.2501,8800,2.3053
"2001-03-12",11.2501,11.2501,11.2501,11.2501,17800,2.3053
"2001-03-13",11.18965,11.18965,11.18965,11.18965,16400,2.29291
"2001-03-14",11.12899,11.12899,11.12899,11.12899,18200,2.28048
"2001-03-15",11.023,11.023,11.023,11.023,24800,2.25876
"2001-03-16",10.97756,10.97756,10.97756,10.97756,30200,2.24945
"2001-03-19",10.90189,10.90189,10.90189,10.90189,20100,2.23395
"2001-03-20",10.90189,10.90189,10.90189,10.90189,49200,2.23395
"2001-03-21",10.90189,10.90189,10.90189,10.90189,22600,2.23395
"2001-03-22",10.88678,10.88678,10.88678,10.88678,23600,2.23085
"2001-03-23",10.84134,10.84134,10.84134,10.84134,21400,2.22154
"2001-03-26",10.84134,10.84134,10.84134,10.84134,13300,2.22154
"2001-03-27",10.84134,10.84134,10.84134,10.84134,16200,2.22154
"2001-03-28",10.88678,10.88678,10.88678,10.88678,11700,2.23085
"2001-03-29",10.88678,10.88678,10.88678,10.88678,13300,2.23085
"2001-03-30",11.00789,11.00789,11.00789,11.00789,14300,2.25567
"2001-04-02",11.06844,11.06844,11.06844,11.06844,20200,2.26807
"2001-04-03",11.06844,11.06844,11.06844,11.06844,15300,2.26807
"2001-04-04",11.06844,11.06844,11.06844,11.06844,13000,2.26807
"2001-04-05",11.06844,11.06844,11.06844,11.06844,11600,2.26807
"2001-04-06",11.06844,11.06844,11.06844,11.06844,10600,2.26807
"2001-04-09",11.09877,11.09877,11.09877,11.09877,13200,2.27429
"2001-04-10",11.12899,11.12899,11.12899,11.12899,11700,2.28048
"2001-04-11",11.15932,11.15932,11.15932,11.15932,14400,2.2867
"2001-04-12",11.17443,11.17443,11.17443,11.17443,14400,2.28979
"2001-04-17",11.18965,11.18965,11.18965,11.18965,19700,2.29291
"2001-04-18",11.20476,11.20476,11.20476,11.20476,10900,2.29601
"2001-04-19",11.21987,11.21987,11.21987,11.21987,16700,2.2991
"2001-04-20",11.2501,11.2501,11.2501,11.2501,19100,2.3053
"2001-04-23",11.26531,11.26531,11.26531,11.26531,12100,2.30842
"2001-04-24",11.28043,11.28043,11.28043,11.28043,15100,2.31151
"2001-04-25",11.28043,11.28043,11.28043,11.28043,7400,2.31151
"2001-04-26",11.28043,11.28043,11.28043,11.28043,4800,2.31151
"2001-04-27",11.28043,11.28043,11.28043,11.28043,17900,2.31151
"2001-04-30",11.31075,11.31075,11.31075,11.31075,10200,2.31773
"2001-05-02",11.34098,11.34098,11.34098,11.34098,13000,2.32392
"2001-05-03",11.35619,11.35619,11.35619,11.35619,16900,2.32704
"2001-05-04",11.35619,11.35619,11.35619,11.35619,17200,2.32704
"2001-05-07",11.20476,11.20476,11.20476,11.20476,18600,2.29601
"2001-05-08",11.23509,11.23509,11.23509,11.23509,16300,2.30222
"2001-05-09",11.26531,11.26531,11.26531,11.26531,17500,2.30842
"2001-05-10",11.29554,11.29554,11.29554,11.29554,16100,2.31461
"2001-05-11",11.32587,11.32587,11.32587,11.32587,15100,2.32082
"2001-05-14",11.32587,11.32587,11.32587,11.32587,10100,2.32082
"2001-05-15",11.32587,11.32587,11.32587,11.32587,14600,2.32082
"2001-05-16",11.31075,11.31075,11.31075,11.31075,21200,2.31773
"2001-05-17",11.31075,11.31075,11.31075,11.31075,17000,2.31773
"2001-05-18",11.32587,11.32587,11.32587,11.32587,15800,2.32082
"2001-05-21",11.32587,11.32587,11.32587,11.32587,12600,2.32082
"2001-05-22",11.31075,11.31075,11.31075,11.31075,13000,2.31773
"2001-05-23",11.29554,11.29554,11.29554,11.29554,25500,2.31461
"2001-05-24",11.26531,11.26531,11.26531,11.26531,21100,2.30842
"2001-05-25",11.20476,11.20476,11.20476,11.20476,22600,2.29601
"2001-05-28",11.17443,11.17443,11.17443,11.17443,17300,2.28979
"2001-05-29",11.20476,11.20476,11.20476,11.20476,17200,2.29601
"2001-05-30",11.20476,11.20476,11.20476,11.20476,10300,2.29601
"2001-05-31",11.20476,11.20476,11.20476,11.20476,15200,2.29601
"2001-06-01",11.20476,11.20476,11.20476,11.20476,10200,2.29601
"2001-06-04",11.20476,11.20476,11.20476,11.20476,10600,2.29601
"2001-06-05",11.20476,11.20476,11.20476,11.20476,13100,2.29601
"2001-06-06",11.20476,11.20476,11.20476,11.20476,12000,2.29601
"2001-06-07",11.18965,11.18965,11.18965,11.18965,12300,2.29291
"2001-06-08",11.05333,11.05333,11.05333,11.05333,12800,2.26498
"2001-06-11",11.05333,11.05333,11.05333,11.05333,18900,2.26498
"2001-06-12",11.05333,11.05333,11.05333,11.05333,15900,2.26498
"2001-06-13",11.05333,11.05333,11.05333,11.05333,12100,2.26498
"2001-06-14",11.05333,11.05333,11.05333,11.05333,17600,2.26498
"2001-06-15",11.05333,11.05333,11.05333,11.05333,14700,2.26498
"2001-06-18",11.023,11.023,11.023,11.023,12800,2.25876
"2001-06-19",11.023,11.023,11.023,11.023,20700,2.25876
"2001-06-20",11.00789,11.00789,11.00789,11.00789,15100,2.25567
"2001-06-21",10.97756,10.97756,10.97756,10.97756,16600,2.24945
"2001-06-22",10.91711,10.91711,10.91711,10.91711,13300,2.23706
"2001-06-25",10.84134,10.84134,10.84134,10.84134,16300,2.22154
"2001-06-26",10.68991,10.68991,10.68991,10.68991,17500,2.19051
"2001-06-27",10.59913,10.59913,10.59913,10.59913,28500,2.1719
