"","BP.MI.Open","BP.MI.High","BP.MI.Low","BP.MI.Close","BP.MI.Volume","BP.MI.Adjusted"
"2001-01-02",5.30306,5.30306,5.2255,5.2255,14500,49.91793
"2001-01-03",5.29898,5.29898,5.1561,5.20508,40000,49.72286
"2001-01-04",5.24591,5.30306,5.18467,5.19284,38100,49.60594
"2001-01-05",5.20508,5.25816,5.201,5.20508,15700,49.72286
"2001-01-08",5.22141,5.24591,5.18467,5.18467,15000,49.52789
"2001-01-09",5.2255,5.2255,5.19284,5.20508,18300,49.72286
"2001-01-10",5.20508,5.2255,5.201,5.22141,23000,49.87886
"2001-01-11",5.20508,5.24183,5.20508,5.2255,17600,49.91793
"2001-01-12",5.24591,5.38879,5.21733,5.30306,66000,50.65884
"2001-01-15",5.27449,5.32347,5.24591,5.28673,18400,50.50284
"2001-01-16",5.28673,5.38471,5.28673,5.38471,24800,51.43882
"2001-01-17",5.35613,5.49902,5.30714,5.37246,107700,51.3218
"2001-01-18",5.31531,5.40104,5.31531,5.39696,44300,51.55585
"2001-01-19",5.36838,5.42145,5.3398,5.35205,38200,51.12683
"2001-01-22",5.31531,5.38471,5.30714,5.3398,39600,51.00981
"2001-01-23",5.34797,5.36838,5.31531,5.31531,29800,50.77586
"2001-01-25",5.32756,5.36838,5.30714,5.33164,46100,50.93186
"2001-01-29",5.34797,5.45003,5.32756,5.4337,86300,51.90682
"2001-01-30",5.42553,5.4337,5.35205,5.39288,41200,51.51687
"2001-01-31",5.51127,5.8991,5.36838,5.47044,227200,52.25778
"2001-02-01",5.4337,5.53168,5.39696,5.42962,102100,51.86784
"2001-02-02",5.42962,5.48269,5.42962,5.43778,50000,51.94579
"2001-02-05",5.40921,5.42962,5.33572,5.34797,47700,51.08785
"2001-02-06",5.35613,5.36838,5.31531,5.34389,42400,51.04888
"2001-02-07",5.34797,5.34797,5.31123,5.32756,28700,50.89288
"2001-02-08",5.31531,5.33572,5.30714,5.31123,32000,50.73689
"2001-02-09",5.30714,5.41737,5.30714,5.36022,51000,51.20488
"2001-02-12",5.3398,5.36838,5.31531,5.31939,37300,50.81484
"2001-02-13",5.31123,5.34797,5.2949,5.31123,46900,50.73689
"2001-02-14",5.26632,5.30714,5.26632,5.30714,37100,50.69782
"2001-02-15",5.27857,5.30306,5.25816,5.29081,21900,50.54182
"2001-02-16",5.26632,5.30306,5.23774,5.25407,21300,50.19085
"2001-02-19",5.26632,5.2704,5.19284,5.19284,35700,49.60594
"2001-02-20",5.20917,5.28673,5.19692,5.23774,29300,50.03486
"2001-02-21",5.24591,5.26632,5.16834,5.201,43200,49.68389
"2001-02-22",5.17651,5.2255,5.12752,5.14385,25900,49.13795
"2001-02-23",5.14385,5.21325,5.12344,5.13568,16400,49.0599
"2001-02-26",5.1316,5.15201,5.10711,5.14385,25400,49.13795
"2001-02-27",5.1316,5.16018,5.10711,5.11119,21600,48.82595
"2001-02-28",5.11119,5.13977,5.08261,5.13977,39700,49.09897
"2001-03-01",5.09078,5.10711,5.04995,5.07445,29300,48.47499
"2001-03-02",5.04179,5.06628,4.97647,4.9928,38800,47.695
"2001-03-05",5.02546,5.04995,4.96014,5.01321,37600,47.88997
"2001-03-06",4.99688,5.01321,4.92748,5.00096,26600,47.77296
"2001-03-07",4.98055,5.01729,4.95197,4.98463,13900,47.61696
"2001-03-08",4.97239,5.05404,4.96014,5.05404,24700,48.28002
"2001-03-09",5.00096,5.0622,5.00096,5.00913,10100,47.851
"2001-03-12",4.93973,5.01321,4.88257,4.8989,30800,46.798
"2001-03-13",4.87849,4.87849,4.75602,4.84583,21000,46.29104
"2001-03-15",4.76418,4.8295,4.64988,4.75602,32000,45.4331
"2001-03-16",4.73969,4.91523,4.68254,4.72336,34600,45.12111
"2001-03-19",4.73561,4.75194,4.68254,4.72336,25600,45.12111
"2001-03-20",4.75194,4.77235,4.6662,4.71519,97100,45.04306
"2001-03-21",4.75602,4.8295,4.73152,4.78051,34600,45.66705
"2001-03-22",4.78051,4.80909,4.63355,4.72336,35200,45.12111
"2001-03-23",4.71519,4.84175,4.71519,4.77643,18800,45.62807
"2001-03-26",4.75602,4.89074,4.75602,4.87033,20600,46.52508
"2001-03-27",4.85808,4.95197,4.8295,4.89482,66500,46.75902
"2001-03-28",4.8989,4.93564,4.82542,4.82542,32100,46.09606
"2001-03-29",4.81726,4.89482,4.78868,4.84175,15500,46.25206
"2001-03-30",4.87441,4.93156,4.87441,4.91931,9000,46.99297
"2001-04-02",4.8989,4.97239,4.86624,4.95606,20000,47.34404
"2001-04-03",4.88257,4.95606,4.87849,4.95606,19900,47.34404
"2001-04-04",4.91523,4.95197,4.87033,4.93564,18500,47.14897
"2001-04-05",4.90707,4.93973,4.87033,4.87441,37600,46.56405
"2001-04-06",4.8989,4.91115,4.86624,4.89482,20400,46.75902
"2001-04-09",4.8989,4.96014,4.86216,4.96014,17600,47.38301
"2001-04-10",4.91931,4.93973,4.87849,4.91931,14700,46.99297
"2001-04-11",4.89482,4.92748,4.87033,4.8989,17100,46.798
"2001-04-12",4.87441,4.90707,4.79684,4.86624,75700,46.48601
"2001-04-17",4.854,4.8989,4.80093,4.86624,11900,46.48601
"2001-04-18",4.87441,4.90707,4.83767,4.88666,24400,46.68107
"2001-04-19",4.86624,4.93564,4.86624,4.87849,28900,46.60303
"2001-04-20",4.87849,4.93973,4.87849,4.91931,44100,46.99297
"2001-04-23",4.90707,4.9234,4.82542,4.90299,29300,46.83707
"2001-04-24",4.90707,4.90707,4.84583,4.87849,16400,46.60303
"2001-04-25",4.8989,4.8989,4.86216,4.88257,4400,46.642
"2001-04-26",4.89482,4.89482,4.85808,4.88666,8700,46.68107
"2001-04-27",4.85808,4.87849,4.82542,4.87441,8300,46.56405
"2001-04-30",4.83767,4.91523,4.83767,4.854,15600,46.36908
"2001-05-02",4.8989,4.90299,4.85808,4.87441,18500,46.56405
"2001-05-03",4.87849,4.89482,4.77235,4.85808,21900,46.40806
"2001-05-04",4.87441,4.87849,4.82134,4.82134,13000,46.05709
"2001-05-08",4.84583,4.84583,4.79276,4.79684,13000,45.82304
"2001-05-09",4.79684,4.83358,4.71111,4.77235,22000,45.5891
"2001-05-10",4.80093,4.83767,4.73969,4.80501,35200,45.90109
"2001-05-11",4.80093,4.83767,4.7601,4.79684,36700,45.82304
"2001-05-14",4.78868,4.81317,4.70703,4.78868,35400,45.74509
"2001-05-15",4.77643,4.81317,4.71111,4.77643,34800,45.62807
"2001-05-16",4.79276,4.79684,4.72336,4.75602,8400,45.4331
"2001-05-17",4.77235,4.7846,4.73969,4.76418,10000,45.51105
"2001-05-18",4.74377,4.87849,4.72336,4.83767,50900,46.21309
"2001-05-21",4.87441,4.87849,4.77643,4.83767,39200,46.21309
"2001-05-22",4.80093,4.95606,4.80093,4.8989,83300,46.798
"2001-05-23",4.8989,4.93156,4.84991,4.91115,45300,46.91502
"2001-05-24",4.91931,5.00913,4.88666,5.00913,67700,47.851
"2001-05-25",5.02138,5.13977,4.93973,5.1316,158600,49.02093
"2001-05-28",5.14385,5.19692,5.09894,5.12752,114600,48.98195
"2001-05-29",5.08261,5.12752,5.04587,5.06628,102500,48.39694
"2001-05-30",5.10302,5.11119,5.00096,5.10302,74600,48.74791
"2001-05-31",5.08261,5.09486,5.00096,5.05404,75300,48.28002
"2001-06-01",5.03362,5.08261,5.00096,5.0622,73000,48.35797
"2001-06-04",5.04179,5.04179,4.8989,4.9928,41600,47.695
"2001-06-05",4.96014,4.99688,4.90299,4.92748,31100,47.07102
"2001-06-06",4.93973,4.94789,4.85808,4.88666,53500,46.68107
"2001-06-07",4.90707,4.91523,4.88257,4.89482,26900,46.75902
"2001-06-08",4.91931,4.91931,4.84583,4.87849,37400,46.60303
