"","FBK.MI.Open","FBK.MI.High","FBK.MI.Low","FBK.MI.Close","FBK.MI.Volume","FBK.MI.Adjusted"
"2014-07-02",4,4.018,3.872,4,37618200,3.74
"2014-07-03",4.016,4.244,4.006,4.17,15526100,3.899
"2014-07-04",4.198,4.296,4.106,4.14,7037200,3.871
"2014-07-07",4.168,4.194,4.01,4.04,4890600,3.777
"2014-07-08",4.088,4.09,3.98,3.98,3934800,3.721
"2014-07-09",4.01,4.09,4.01,4.04,2068100,3.777
"2014-07-10",4.042,4.08,3.902,4.042,2625600,3.779
"2014-07-11",4.042,4.126,4.052,4.08,1659900,3.815
"2014-07-14",4.134,4.134,4.012,4.104,1142500,3.837
"2014-07-15",4.114,4.114,4.052,4.052,758900,3.788
"2014-07-16",4.078,4.13,4.054,4.13,1049600,3.861
"2014-07-17",4.116,4.13,4.07,4.094,542400,3.828
"2014-07-18",4.074,4.13,4.04,4.056,609300,3.792
"2014-07-21",4.062,4.1,4.024,4.1,651600,3.833
"2014-07-22",4.1,4.128,4.08,4.096,774500,3.83
"2014-07-23",4.094,4.11,4.074,4.086,338700,3.82
"2014-07-24",4.106,4.108,4.058,4.08,1014700,3.815
"2014-07-25",4.084,4.09,4.058,4.068,707600,3.803
"2014-07-28",4.076,4.076,4,4.038,1049000,3.775
"2014-07-29",4.05,4.05,3.98,3.99,1490100,3.731
"2014-07-30",4.006,4.006,3.912,3.95,1968700,3.693
"2014-07-31",3.95,3.962,3.86,3.92,2642100,3.665
"2014-08-01",3.92,3.944,3.85,3.884,2561900,3.631
"2014-08-04",3.932,3.936,3.884,3.932,704600,3.676
"2014-08-05",3.932,3.982,3.916,3.964,787800,3.706
"2014-08-06",3.982,3.994,3.872,3.9,1858500,3.646
"2014-08-07",3.93,3.93,3.83,3.834,653200,3.585
"2014-08-08",3.82,3.864,3.512,3.824,1496100,3.575
"2014-08-11",3.834,3.91,3.834,3.898,394400,3.644
"2014-08-12",3.928,3.94,3.878,3.88,993000,3.628
"2014-08-13",3.88,3.9,3.786,3.826,1515800,3.577
"2014-08-14",3.82,3.836,3.8,3.808,223400,3.56
"2014-08-15",3.808,3.808,3.808,3.808,0,3.56
"2014-08-18",3.866,3.872,3.84,3.866,428000,3.615
"2014-08-19",3.866,3.934,3.85,3.9,447700,3.646
"2014-08-20",3.912,3.968,3.86,3.902,358400,3.648
"2014-08-21",3.902,3.93,3.902,3.928,341300,3.673
"2014-08-22",3.92,3.96,3.9,3.928,918600,3.673
"2014-08-25",3.938,3.96,3.91,3.936,533300,3.68
"2014-08-26",3.94,3.964,3.912,3.932,1060700,3.676
"2014-08-27",3.938,3.95,3.92,3.934,594900,3.678
"2014-08-28",3.94,3.948,3.92,3.94,339500,3.684
"2014-08-29",3.924,3.966,3.924,3.96,299000,3.702
"2014-09-01",3.95,3.968,3.914,3.966,263200,3.708
"2014-09-02",3.952,3.97,3.944,3.952,261400,3.695
"2014-09-03",3.952,3.986,3.944,3.972,592200,3.714
"2014-09-04",3.972,4.17,3.972,4.12,4962200,3.852
"2014-09-05",4.1,4.138,4.068,4.12,2147000,3.852
"2014-09-08",4.084,4.112,4.072,4.084,721500,3.818
"2014-09-09",4.084,4.15,4.078,4.116,1409600,3.848
"2014-09-10",4.1,4.142,4.1,4.108,792400,3.841
"2014-09-11",4.118,4.206,4.118,4.172,2460900,3.901
"2014-09-12",4.152,4.194,4.136,4.16,746000,3.889
"2014-09-15",4.142,4.18,4.084,4.14,663900,3.871
"2014-09-16",4.124,4.136,4.03,4.12,732400,3.852
"2014-09-17",4.164,4.224,4.164,4.18,2714600,3.908
"2014-09-18",4.19,4.248,4.15,4.202,1350100,3.929
"2014-09-19",4.248,4.306,4.202,4.296,2363000,4.017
"2014-09-22",4.24,4.27,4.202,4.222,659600,3.947
"2014-09-23",4.24,4.34,4.152,4.226,1506500,3.951
"2014-09-24",4.236,4.25,4.182,4.248,536000,3.972
"2014-09-25",4.236,4.28,4.202,4.224,471700,3.949
"2014-09-26",4.24,4.25,4.212,4.234,379600,3.959
"2014-09-29",4.246,4.25,4.186,4.188,513100,3.916
"2014-09-30",4.214,4.238,4.19,4.238,290800,3.962
"2014-10-01",4.2,4.24,4.192,4.224,535000,3.949
"2014-10-02",4.202,4.208,4.118,4.14,1557000,3.871
"2014-10-03",4.148,4.194,4.116,4.188,816600,3.916
"2014-10-06",4.196,4.204,4.104,4.2,377800,3.927
"2014-10-07",4.18,4.216,4.13,4.15,530400,3.88
"2014-10-08",4.128,4.2,4.112,4.122,437300,3.854
"2014-10-09",4.154,4.2,4.062,4.068,597400,3.803
"2014-10-10",4.05,4.17,3.978,4.13,1086200,3.861
"2014-10-13",4.146,4.146,3.994,3.996,957500,3.736
"2014-10-14",4,4.022,3.904,3.944,1549400,3.688
"2014-10-15",3.942,3.998,3.81,3.832,1217500,3.583
"2014-10-16",3.87,3.938,3.762,3.872,1458700,3.62
"2014-10-17",3.88,4.038,3.88,3.98,867200,3.721
"2014-10-20",4.012,4.038,3.966,4,730700,3.74
"2014-10-21",4.008,4.072,3.972,4.05,615900,3.787
