"","ISP.MI.Open","ISP.MI.High","ISP.MI.Low","ISP.MI.Close","ISP.MI.Volume","ISP.MI.Adjusted"
"2001-01-01",5.14487,5.14487,5.14487,5.14487,0,182.97327
"2001-01-02",4.69246,4.85137,4.69246,4.80463,113300,170.87296
"2001-01-03",4.77658,4.83266,4.68311,4.68311,239700,166.55105
"2001-01-04",4.77658,4.82332,4.7392,4.74854,273600,168.87806
"2001-01-05",4.79528,4.95418,4.76723,4.92614,453100,175.19429
"2001-01-08",4.90745,4.93549,4.83266,4.83266,199500,171.86984
"2001-01-09",4.86071,4.96354,4.79528,4.88875,200700,173.86474
"2001-01-10",4.87006,4.99157,4.83266,4.9168,282600,174.86219
"2001-01-11",4.92614,4.96354,4.88875,4.96354,236300,176.52442
"2001-01-12",4.93549,4.93549,4.85137,4.87006,155400,173.19997
"2001-01-15",4.90745,4.99157,4.88875,4.95418,145300,176.19175
"2001-01-16",4.93549,5.00092,4.9168,4.97288,255400,176.85652
"2001-01-17",4.93549,5.04766,4.92614,5.01962,339100,178.51876
"2001-01-18",4.96354,5.02897,4.87006,4.97288,184600,176.85652
"2001-01-19",4.96354,4.96354,4.87006,4.92614,246500,175.19429
"2001-01-22",4.92614,5.01962,4.87006,4.97288,190200,176.85652
"2001-01-23",4.97288,5.01962,4.94483,4.98223,223400,177.1892
"2001-01-24",4.98223,5.08505,4.98223,5.07571,370700,180.51367
"2001-01-25",5.08505,5.15983,4.99157,5.02897,453600,178.85143
"2001-01-26",4.93549,5.00092,4.88875,4.96354,247700,176.52442
"2001-01-29",4.97288,5.01028,4.90745,4.90745,112500,174.52952
"2001-01-30",4.90745,4.97288,4.84201,4.87006,268100,173.19997
"2001-01-31",4.8794,4.93549,4.82332,4.90745,206200,174.52952
"2001-02-01",4.88875,4.90745,4.77658,4.84201,268100,172.20251
"2001-02-02",4.86071,4.86071,4.7392,4.78592,167300,170.2076
"2001-02-05",4.72984,4.75789,4.61767,4.68311,408300,166.55105
"2001-02-06",4.63637,4.74854,4.63637,4.68311,171500,166.55105
"2001-02-07",4.64572,4.67375,4.59898,4.63637,154200,164.88881
"2001-02-08",4.68311,4.72984,4.64572,4.69246,182200,166.88372
"2001-02-09",4.67375,4.72049,4.61767,4.66441,98900,165.88628
"2001-02-12",4.67375,4.76723,4.67375,4.76723,141900,169.54283
"2001-02-13",4.81397,4.81397,4.72049,4.76723,202300,169.54283
"2001-02-14",4.7392,4.79528,4.69246,4.76723,128900,169.54283
"2001-02-15",4.77658,4.78592,4.72984,4.75789,112200,169.21073
"2001-02-16",4.7018,4.78592,4.59898,4.64572,329400,165.22149
"2001-02-19",4.63637,4.72049,4.62703,4.67375,110400,166.21836
"2001-02-20",4.66441,4.7018,4.55224,4.58963,212000,163.22658
"2001-02-21",4.58029,4.61767,4.44941,4.49615,315300,159.90213
"2001-02-22",4.48681,4.54289,4.33724,4.3466,422800,154.58334
"2001-02-23",4.35595,4.39333,4.19704,4.31855,337400,153.58588
"2001-02-26",4.26247,4.38398,4.23443,4.35595,223100,154.91601
"2001-02-27",4.35595,4.36529,4.26247,4.31855,246400,153.58588
"2001-02-28",4.30921,4.37464,4.25312,4.26247,299900,151.59156
"2001-03-01",4.26247,4.3466,4.19704,4.26247,415100,151.59156
"2001-03-02",4.33724,4.33724,4.1129,4.18769,290700,148.93187
"2001-03-05",4.169,4.20638,4.08487,4.1129,148400,146.27218
"2001-03-06",4.1129,4.17833,4.07552,4.15964,134500,147.93442
"2001-03-07",4.1129,4.18769,4.1129,4.1503,150000,147.60232
"2001-03-08",4.17833,4.18769,4.08487,4.1503,205700,147.60232
"2001-03-09",4.1503,4.19704,4.1129,4.14095,156800,147.26964
"2001-03-12",4.12226,4.13161,4.01009,4.04747,232900,143.94517
"2001-03-13",3.9727,4.06616,3.9727,4.04747,164900,143.94517
"2001-03-14",4.02878,4.02878,3.86987,3.95399,336400,140.62071
"2001-03-15",3.98204,4.05682,3.90727,4.01944,320500,142.94831
"2001-03-16",3.98204,4.08487,3.95399,3.9727,687500,141.28608
"2001-03-19",3.92596,4.04747,3.91661,3.9353,365400,139.95594
"2001-03-20",3.9727,4.00073,3.86053,3.86987,502300,137.62893
"2001-03-21",3.84182,3.94466,3.82313,3.87922,299300,137.96161
"2001-03-22",3.88856,3.88856,3.74836,3.7577,221800,133.6397
"2001-03-23",3.80444,3.86987,3.74836,3.85118,246100,136.96416
"2001-03-26",3.87922,3.95399,3.86053,3.88856,358400,138.29371
"2001-03-27",3.87922,3.96335,3.85118,3.90727,430900,138.95907
"2001-03-28",3.90727,3.95399,3.87922,3.89792,410500,138.6264
"2001-03-29",3.85118,3.9727,3.82313,3.9727,340500,141.28608
"2001-03-30",3.94466,4.05682,3.9353,4.05682,540500,144.27786
"2001-04-02",4.04747,4.04747,3.90727,3.9727,510400,141.28608
"2001-04-03",3.96335,3.96335,3.88856,3.89792,408800,138.6264
