"","MB.MI.Open","MB.MI.High","MB.MI.Low","MB.MI.Close","MB.MI.Volume","MB.MI.Adjusted"
"2001-01-01",12.684,12.684,12.684,12.684,0,7.84393
"2001-01-02",11.88999,12.26001,11.71999,12.01,491900,7.42712
"2001-01-03",11.89996,12.18997,11.72997,11.91004,1311400,7.36531
"2001-01-04",11.94994,12.05001,11.55997,11.97,1789400,7.40238
"2001-01-05",12.01,12.09001,11.80998,11.93997,1081700,7.38381
"2001-01-08",12.00003,12.05001,11.8,11.89996,1317400,7.35907
"2001-01-09",12.00003,12.04003,11.89996,11.92999,1047300,7.37764
"2001-01-10",11.91004,11.92999,11.45004,11.58003,1823300,7.16122
"2001-01-11",11.8,11.8,11.39995,11.67999,1270200,7.22304
"2001-01-12",11.55,11.67001,11.29999,11.39995,1730100,7.04986
"2001-01-15",11.39995,11.56995,11.24004,11.46999,1781000,7.09317
"2001-01-16",11.45004,11.66004,11.34997,11.50002,1471300,7.11174
"2001-01-17",11.55997,11.88001,11.46001,11.78005,2281100,7.28492
"2001-01-18",11.70004,11.88001,11.58003,11.67999,1001700,7.22304
"2001-01-19",11.67999,11.70004,11.31994,11.41003,1673700,7.05609
"2001-01-22",11.46999,11.64996,11.25001,11.63998,1781500,7.1983
"2001-01-23",11.74005,11.75002,11.50002,11.50002,1367800,7.11174
"2001-01-24",11.71999,11.72997,11.38,11.55,1311100,7.14265
"2001-01-25",11.43996,11.70004,11.42998,11.59998,1292800,7.17356
"2001-01-26",11.53005,11.97997,11.53005,11.89996,8720700,7.35907
"2001-01-29",12.04003,12.14997,11.84998,11.88001,1599100,7.34673
"2001-01-30",11.87004,11.92999,11.8,11.84998,1214800,7.32816
"2001-01-31",11.85996,12.14997,11.75002,12.05001,3053400,7.45186
"2001-02-01",12.05001,12.18,12.04003,12.06996,1864000,7.4642
"2001-02-02",12.09001,12.25003,12.05998,12.20005,2196000,7.54465
"2001-02-05",12.14997,12.14997,11.97997,12.06996,1072000,7.4642
"2001-02-06",12.05001,12.26001,11.94994,12.10996,1744300,7.48894
"2001-02-07",12.05998,12.17002,11.99005,12.08004,767000,7.47043
"2001-02-08",12.09999,12.20005,11.91004,12.06996,1039500,7.4642
"2001-02-09",12.01,12.12004,11.93997,12.08004,1054400,7.47043
"2001-02-12",11.94994,12.30999,11.92999,12.26998,2316800,7.5879
"2001-02-13",12.34999,12.39997,12.21003,12.34002,2883300,7.63121
"2001-02-14",12.21003,12.34999,12.18997,12.30001,1804900,7.60647
"2001-02-15",12.36994,12.47998,12.26998,12.30999,2072100,7.61264
"2001-02-16",12.30001,12.47998,12.05998,12.30001,3184600,7.60647
"2001-02-19",12.26998,12.30001,12.08004,12.23995,906100,7.56933
"2001-02-20",12.22998,12.34002,12.14997,12.15994,1044700,7.51985
"2001-02-21",12.05001,12.26001,11.97,12.06996,1754800,7.4642
"2001-02-22",11.97,12.18,11.84998,11.97,1844500,7.40238
"2001-02-23",12.00003,12.06996,11.88999,12.01998,1349500,7.43329
"2001-02-26",11.99005,12.01,11.8,11.93997,2246200,7.38381
"2001-02-27",11.87004,12.02995,11.84998,11.94994,1420600,7.38998
"2001-02-28",11.84001,12.04003,11.84001,12.01998,1652700,7.43329
"2001-03-01",11.92002,12.05001,11.88999,12.04003,1312500,7.44569
"2001-03-02",12.02995,12.04003,11.80998,11.94994,1095900,7.38998
"2001-03-05",11.93997,12.00003,11.60995,11.66004,3228400,7.2107
"2001-03-06",11.63998,11.84001,11.63998,11.67999,1172500,7.22304
"2001-03-07",11.67999,11.88001,11.67999,11.83003,1240500,7.31583
"2001-03-08",11.83003,12.09001,11.74005,12.02995,2457000,7.43946
"2001-03-09",12.05001,12.05998,11.80998,11.92002,1506700,7.37147
"2001-03-12",11.75002,11.88001,11.67001,11.71002,1418000,7.24161
"2001-03-13",11.66004,11.80998,11.59998,11.64996,1344700,7.20447
"2001-03-14",11.63001,11.76,11.28004,11.38998,3046800,7.04369
"2001-03-15",11.34997,11.54002,11.07004,11.25001,1800400,6.95714
"2001-03-16",11.12002,11.21998,10.75998,10.82004,4856500,6.69123
"2001-03-19",10.99003,11.07004,10.70002,10.78003,2228500,6.66649
"2001-03-20",10.88997,10.89994,10.4,10.59996,2181500,6.55513
"2001-03-21",10.43,10.62999,10.16,10.36,2899800,6.40674
"2001-03-22",10.26,10.27,9.7,9.72,3780800,6.01096
"2001-03-23",9.81,10.15,9.63,9.97,2691200,6.16556
"2001-03-26",10.19,10.4,9.95,10.29,2719200,6.36345
"2001-03-27",10.16999,10.54,10.03999,10.41,1579200,6.43766
"2001-03-28",10.4,10.48,10.14,10.3,1502100,6.36963
"2001-03-29",10.01,10.39,9.82,10.07,3690300,6.2274
"2001-03-30",10.14,10.54998,10.14,10.41,3653800,6.43766
"2001-04-02",10.32,10.58998,10.32,10.47,2164400,6.47477
"2001-04-03",10.5,10.53003,10.24999,10.29,1309200,6.36345
"2001-04-04",10.15,10.62001,10.15,10.45,2748500,6.4624
"2001-04-05",10.54998,10.91002,10.54998,10.79998,2175200,6.67883
"2001-04-06",10.87002,10.92997,10.71997,10.82004,1234100,6.69123
"2001-04-09",10.71997,10.95003,10.65005,10.88997,1306900,6.73448
"2001-04-10",10.89994,11.00001,10.73005,10.91002,1329600,6.74688
"2001-04-11",10.86004,11.21001,10.82004,11.03004,2793000,6.8211
"2001-04-12",11.04001,11.18995,10.96,11.07004,1682600,6.84584
"2001-04-13",11.6235,11.6235,11.6235,11.6235,0,7.1881
"2001-04-16",11.6235,11.6235,11.6235,11.6235,0,7.1881
"2001-04-17",10.92,11.43996,10.91002,11.38,2453300,7.03752
"2001-04-18",11.50999,12.22998,11.50999,12.13999,8061800,7.50751
"2001-04-19",12.20005,12.23995,11.88999,12.00003,6120000,7.42095
"2001-04-20",11.94994,11.94994,11.45004,11.68996,4383900,7.22921
"2001-04-23",11.42001,11.59998,11.34997,11.39995,1364600,7.04986
"2001-04-24",11.54002,11.67999,11.26996,11.34,2058600,7.01278
"2001-04-25",11.20003,11.41003,11.13997,11.31994,820600,7.00038
