"","PMI.MI.Open","PMI.MI.High","PMI.MI.Low","PMI.MI.Close","PMI.MI.Volume","PMI.MI.Adjusted"
"2001-01-01",1.54485,1.54485,1.54485,1.54485,0,0.55991
"2001-01-02",1.58566,1.63813,1.574,1.61189,6245600,0.58421
"2001-01-03",1.62938,1.62938,1.56234,1.56234,5688100,0.56625
"2001-01-04",1.6323,1.65853,1.61772,1.65561,5875100,0.60005
"2001-01-05",1.65853,1.69351,1.65853,1.68768,6631600,0.61168
"2001-01-08",1.67602,1.7314,1.67602,1.71391,7585300,0.62118
"2001-01-09",1.72557,1.73431,1.69351,1.711,6036400,0.62013
"2001-01-10",1.7314,1.77804,1.70225,1.77804,6355400,0.64443
"2001-01-11",1.7518,1.76055,1.72265,1.72265,3818400,0.62435
"2001-01-12",1.72848,1.74597,1.711,1.71974,5652100,0.6233
"2001-01-15",1.71683,1.72557,1.67602,1.72557,6559500,0.62541
"2001-01-16",1.70225,1.71974,1.66727,1.6731,3859500,0.60639
"2001-01-17",1.66727,1.73431,1.66727,1.7314,4487400,0.62752
"2001-01-18",1.71974,1.76055,1.71391,1.74889,7503000,0.63386
"2001-01-19",1.75763,1.76346,1.73431,1.74014,4338100,0.63069
"2001-01-22",1.73431,1.74597,1.71974,1.71974,2609000,0.6233
"2001-01-23",1.7314,1.76638,1.72265,1.74306,4074000,0.63175
"2001-01-24",1.73723,1.79261,1.73431,1.76638,5888800,0.6402
"2001-01-25",1.75472,1.80718,1.75472,1.77512,3861300,0.64337
"2001-01-26",1.77512,1.82176,1.77221,1.80135,5477100,0.65287
"2001-01-29",1.82759,1.84508,1.80427,1.84508,3809800,0.66872
"2001-01-30",1.84508,1.85091,1.78387,1.7897,4672600,0.64865
"2001-01-31",1.79261,1.79553,1.74889,1.74889,7130800,0.63386
"2001-02-01",1.76638,1.7897,1.73431,1.74306,4291800,0.63175
"2001-02-02",1.74597,1.74889,1.71683,1.71683,3384400,0.62224
"2001-02-05",1.71974,1.73431,1.70517,1.71391,1861100,0.62118
"2001-02-06",1.70808,1.7518,1.70808,1.74889,1360200,0.63386
"2001-02-07",1.74889,1.74889,1.72265,1.74597,1586700,0.6328
"2001-02-08",1.72848,1.74889,1.69934,1.69934,4725800,0.6159
"2001-02-09",1.69351,1.71391,1.67019,1.67019,2590200,0.60534
"2001-02-12",1.69059,1.69059,1.66436,1.66436,2072100,0.60322
"2001-02-13",1.6731,1.67602,1.64978,1.64978,2790900,0.59794
