"","UBI.MI.Open","UBI.MI.High","UBI.MI.Low","UBI.MI.Close","UBI.MI.Volume","UBI.MI.Adjusted"
"2003-07-01",12.3161,12.3532,11.8978,12.0744,2062400,8.15252
"2003-07-02",12.1395,12.2045,11.5725,11.6468,2514100,7.86381
"2003-07-03",11.6096,11.8978,11.6004,11.8048,1208300,7.97049
"2003-07-04",11.7584,11.9536,11.7212,11.9536,918000,8.07095
"2003-07-07",11.9629,12.2045,11.935,11.935,1182000,8.0584
"2003-07-08",12.0465,12.0558,11.8885,12.0186,687800,8.11484
"2003-07-09",12,12.1116,11.8606,11.9071,522000,8.03956
"2003-07-10",11.8978,12.0558,11.8513,11.8885,497500,8.027
"2003-07-11",11.8978,12.0279,11.8792,12.0186,407200,8.11484
"2003-07-14",12.0651,12.1116,11.935,11.9907,518700,8.096
"2003-07-15",11.9443,12.0744,11.6654,11.8792,1765800,8.02072
"2003-07-16",11.8885,11.9164,11.7491,11.8699,809700,8.01444
"2003-07-17",11.7769,11.9721,11.6282,11.9536,1110000,8.07095
"2003-07-18",11.9536,12.0651,11.8606,12.0186,839500,8.11484
"2003-07-21",11.9815,12.0558,11.684,11.684,770300,7.88892
"2003-07-22",11.7305,11.8141,11.6561,11.7584,670000,7.93916
"2003-07-23",11.8048,11.8141,11.6654,11.7212,485600,7.91404
"2003-07-24",11.7398,12,11.7398,11.9164,1199100,8.04584
"2003-07-25",11.8513,11.9907,11.7863,11.9907,831300,8.096
"2003-07-28",12.0093,12.2417,11.9629,12.2231,1024000,8.25292
"2003-07-29",12.1767,12.2975,12.0279,12.1302,1405600,8.19019
"2003-07-30",12.1767,12.251,12,12.1859,974100,8.2278
"2003-07-31",12.251,12.3811,12.0837,12.3347,957500,8.32827
"2003-08-01",12.2975,12.3904,12.1767,12.2789,653500,8.29059
"2003-08-04",12.409,12.409,12.1023,12.2045,1002000,8.24036
"2003-08-05",12.1859,12.3347,12.1767,12.1767,598000,8.22159
"2003-08-06",12.1859,12.2045,11.8978,11.935,1036800,8.0584
"2003-08-07",11.9815,12.1116,11.8885,11.9907,676700,8.096
"2003-08-08",12.0558,12.1767,11.9071,12.1302,370100,8.19019
"2003-08-11",12.0837,12.1767,11.9907,12.0465,681200,8.13368
"2003-08-12",12.0744,12.251,12.0093,12.1859,484500,8.2278
"2003-08-13",12.1767,12.4834,12.1767,12.3997,1342500,8.37216
"2003-08-14",12.502,12.8366,12.4276,12.6972,4491300,8.57303
"2003-08-18",12.7344,12.8366,12.5577,12.6228,1356400,8.52279
"2003-08-19",12.6414,12.7158,12.5485,12.6879,1431500,8.56675
"2003-08-20",12.6228,12.8087,12.5206,12.5485,920000,8.47263
"2003-08-21",12.7065,12.7065,12.567,12.567,685900,8.48512
"2003-08-22",12.567,12.6414,12.5299,12.5763,723400,8.4914
"2003-08-25",12.6042,12.6693,12.5113,12.6042,361600,8.51023
"2003-08-26",12.5577,12.8645,12.5577,12.7994,1598800,8.64203
"2003-08-27",12.8366,13.0039,12.6135,12.7994,2739100,8.64203
"2003-08-28",12.8552,12.9574,12.7529,12.8552,2328700,8.67971
"2003-08-29",12.8738,13.0132,12.8273,12.911,9336700,8.71738
