"","UCG.MI.Open","UCG.MI.High","UCG.MI.Low","UCG.MI.Close","UCG.MI.Volume","UCG.MI.Adjusted"
"2001-01-01",4.14455,4.14455,4.14455,4.14455,0,30.70634
"2001-01-02",3.42971,3.54929,3.42971,3.48006,1224000,25.78323
"2001-01-03",3.48006,3.51152,3.4423,3.46748,1597000,25.69002
"2001-01-04",3.52411,3.54929,3.41713,3.54929,2835700,26.29613
"2001-01-05",3.54929,3.66885,3.5304,3.64368,3957900,26.99546
"2001-01-08",3.58704,3.68773,3.58704,3.64997,2765200,27.04206
"2001-01-09",3.70031,3.71291,3.61221,3.70662,3029600,27.46176
"2001-01-10",3.66885,3.7192,3.63739,3.68144,1941800,27.27525
"2001-01-11",3.66256,3.73808,3.6311,3.72549,2911400,27.60157
"2001-01-12",3.72549,3.72549,3.6311,3.65627,4081300,27.08875
"2001-01-15",3.66256,3.67514,3.61221,3.6311,1766700,26.90225
"2001-01-16",3.6185,3.62481,3.56187,3.59963,2884400,26.66914
"2001-01-17",3.6185,3.64997,3.56187,3.6185,2211600,26.80895
"2001-01-18",3.60592,3.6185,3.543,3.56187,2126200,26.38934
"2001-01-19",3.58075,3.61221,3.52411,3.56816,2339200,26.43595
"2001-01-22",3.54929,3.63739,3.5304,3.60592,1685300,26.71575
"2001-01-23",3.58704,3.59333,3.51782,3.51782,3693200,26.06303
"2001-01-24",3.51782,3.54929,3.48635,3.50523,3021300,25.96973
"2001-01-25",3.48635,3.56816,3.48006,3.56816,4515500,26.43595
"2001-01-26",3.51782,3.57446,3.51152,3.54929,2314100,26.29613
"2001-01-29",3.51782,3.543,3.49265,3.5304,2125200,26.15623
"2001-01-30",3.49894,3.543,3.49894,3.52411,3335900,26.10963
"2001-01-31",3.54929,3.56816,3.50523,3.5304,3748900,26.15623
"2001-02-01",3.50523,3.52411,3.44859,3.51152,2837800,26.01633
"2001-02-02",3.50523,3.50523,3.40455,3.41084,3967100,25.27041
"2001-02-05",3.41713,3.50523,3.40455,3.48635,4825500,25.82983
"2001-02-06",3.51152,3.51152,3.43601,3.46119,3550800,25.64341
"2001-02-07",3.42971,3.50523,3.42971,3.48635,3139700,25.82983
"2001-02-08",3.46748,3.543,3.46748,3.50523,3101800,25.96973
"2001-02-09",3.48006,3.51782,3.45488,3.46748,2429100,25.69002
"2001-02-12",3.44859,3.53669,3.44859,3.49265,2473100,25.87652
"2001-02-13",3.51782,3.56187,3.49894,3.55558,3006100,26.34274
"2001-02-14",3.55558,3.57446,3.52411,3.56187,2079900,26.38934
"2001-02-15",3.56816,3.58704,3.543,3.56816,1570300,26.43595
"2001-02-16",3.5304,3.58704,3.49894,3.52411,2602800,26.10963
"2001-02-19",3.50523,3.59333,3.50523,3.55558,1461200,26.34274
"2001-02-20",3.56187,3.56816,3.48635,3.49894,1650900,25.92313
"2001-02-21",3.46748,3.50523,3.42342,3.47377,2956600,25.73662
"2001-02-22",3.42971,3.45488,3.37938,3.41713,4562300,25.31701
"2001-02-23",3.42342,3.4423,3.32274,3.34161,5113000,24.7575
"2001-02-26",3.37307,3.37938,3.32274,3.3542,1695900,24.8508
"2001-02-27",3.3542,3.3542,3.27239,3.28497,3676400,24.33789
"2001-02-28",3.28497,3.3542,3.27239,3.32274,4374900,24.61769
"2001-03-01",3.29127,3.29757,3.22834,3.25351,4068900,24.10478
"2001-03-02",3.2598,3.2598,3.17799,3.18428,5192600,23.59188
"2001-03-05",3.20946,3.22205,3.14024,3.1717,5324900,23.49867
"2001-03-06",3.19688,3.22834,3.15911,3.20317,2749200,23.73177
"2001-03-07",3.19688,3.27239,3.17799,3.25351,2640000,24.10478
"2001-03-08",3.2598,3.32274,3.22834,3.27239,2824000,24.24468
"2001-03-09",3.24722,3.29757,3.24722,3.2598,2576000,24.15138
"2001-03-12",3.23463,3.25351,3.18428,3.20317,3762200,23.73177
"2001-03-13",3.14653,3.25351,3.12765,3.20946,3981200,23.77838
"2001-03-14",3.22834,3.23463,3.13394,3.16541,5444100,23.45206
"2001-03-15",3.14653,3.16541,3.05213,3.11507,5636200,23.07906
"2001-03-16",3.07101,3.0836,3.02066,3.03955,7022500,22.51955
"2001-03-19",3.0836,3.08989,2.9892,2.9892,3266000,22.14654
"2001-03-20",3.01437,3.04584,2.96403,2.97032,3739100,22.00664
"2001-03-21",2.96403,3.07101,2.92627,3.02066,4097600,22.37965
"2001-03-22",2.99549,3.00179,2.91368,2.94516,4287600,21.82022
"2001-03-23",2.95774,3.00808,2.95145,2.98291,2716600,22.09993
"2001-03-26",3.00808,3.08989,2.97662,3.0773,3419100,22.79926
"2001-03-27",3.07101,3.16541,3.02697,3.14653,3519900,23.31216
"2001-03-28",3.11507,3.12136,3.05213,3.05843,2635700,22.65945
"2001-03-29",2.9892,3.05213,2.96403,3.03955,4428300,22.51955
"2001-03-30",3.03326,3.10878,3.00179,3.0836,3165200,22.84595
"2001-04-02",3.09618,3.10878,2.99549,3.05843,2897100,22.65945
"2001-04-03",3.05843,3.0836,2.99549,3.00808,2272400,22.28644
"2001-04-04",2.99549,3.0836,2.95145,3.06472,3928700,22.70605
"2001-04-05",3.07101,3.19058,3.07101,3.15282,4009900,23.35877
"2001-04-06",3.18428,3.19688,3.14024,3.18428,1756800,23.59188
"2001-04-09",3.14653,3.20946,3.11507,3.1717,2403300,23.49867
"2001-04-10",3.18428,3.23463,3.16541,3.21576,2355200,23.82507
"2001-04-11",3.22834,3.30386,3.20317,3.26609,3905200,24.19799
"2001-04-12",3.26609,3.30386,3.26609,3.28497,1724400,24.33789
"2001-04-13",3.88413,3.88413,3.88413,3.88413,0,28.77692
"2001-04-16",3.88413,3.88413,3.88413,3.88413,0,28.77692
"2001-04-17",3.26609,3.31015,3.23463,3.31015,1738600,24.52439
"2001-04-18",3.32274,3.3542,3.26609,3.31644,3190100,24.571
"2001-04-19",3.30386,3.31644,3.26609,3.31015,1704600,24.52439
"2001-04-20",3.32903,3.32903,3.24722,3.26609,2581600,24.19799
"2001-04-23",3.2598,3.27868,3.23463,3.24093,1709600,24.01157
"2001-04-24",3.27239,3.29757,3.21576,3.26609,3587900,24.19799
"2001-04-25",3.25351,3.27868,3.24093,3.26609,1191900,24.19799
"2001-04-26",3.26609,3.27868,3.19688,3.24093,2354700,24.01157
"2001-04-27",3.22205,3.30386,3.22205,3.28497,1790400,24.33789
"2001-04-30",3.26609,3.3542,3.26609,3.3479,1962200,24.8041
"2001-05-01",3.95854,3.95854,3.95854,3.95854,0,29.3282
"2001-05-02",3.37307,3.39825,3.32903,3.36049,2590500,24.8974
"2001-05-03",3.3542,3.39825,3.30386,3.3479,1738300,24.8041
"2001-05-04",3.3542,3.36049,3.29127,3.32903,7423300,24.66429
"2001-05-07",3.36049,3.36678,3.32903,3.36049,1142900,24.8974
"2001-05-08",3.32274,3.40455,3.32274,3.3542,1751500,24.8508
"2001-05-09",3.33532,3.37307,3.32903,3.33532,2507500,24.7109
