Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
03/01/2000,4.18753,4.18753,4.06064,4.08992,513000,3.60628,,,,,,36528
04/01/2000,4.05088,4.06064,3.88494,3.96302,1758800,3.49439,-0.031026432,,,,,36529
05/01/2000,3.90446,3.96302,3.81661,3.8947,1732400,3.43414,-0.017241922,,,,,36530
06/01/2000,3.95326,3.96302,3.88494,3.96302,2257200,3.49439,0.017544422,,,,,36531
07/01/2000,4.00207,4.08016,3.98255,4.04111,2395500,3.56324,0.01970301,0.017544422,-0.017241922,-0.031026432,0,36532
10/01/2000,4.08016,4.08016,3.99231,4.01183,778800,3.53742,-0.007246214,0.01970301,0.017544422,-0.017241922,-0.031026432,36535
11/01/2000,4.2461,4.39252,4.08992,4.12896,6597700,3.6407,0.02919642,-0.007246214,0.01970301,0.017544422,-0.017241922,36536
12/01/2000,4.13873,4.13873,4.00207,4.08016,3991400,3.59767,-0.011819156,0.02919642,-0.007246214,0.01970301,0.017544422,36537
13/01/2000,4.1192,4.1192,4.03135,4.0704,2519900,3.58907,-0.002390436,-0.011819156,0.02919642,-0.007246214,0.01970301,36538
14/01/2000,4.17777,4.2949,4.13873,4.2949,4756700,3.78702,0.055153563,-0.002390436,-0.011819156,0.02919642,-0.007246214,36539
17/01/2000,4.2949,4.2949,4.2949,4.2949,0,3.78702,0,0.055153563,-0.002390436,-0.011819156,0.02919642,36542
18/01/2000,4.2949,4.2949,4.2949,4.2949,0,3.78702,0,0,0.055153563,-0.002390436,-0.011819156,36543
19/01/2000,4.2949,4.2949,3.93374,3.98255,12295500,3.51161,-0.072724728,0,0,0.055153563,-0.002390436,36544
20/01/2000,4.02159,4.05088,3.93374,4.02159,8374700,3.54603,0.009801772,-0.072724728,0,0,0.055153563,36545
21/01/2000,3.99231,4.02159,3.98255,4.00207,2013500,3.52882,-0.004853315,0.009801772,-0.072724728,0,0,36546
24/01/2000,4.02159,4.02159,3.9435,3.96302,1416200,3.49439,-0.009756803,-0.004853315,0.009801772,-0.072724728,0,36549
25/01/2000,3.93374,3.96302,3.8947,3.90446,1740800,3.44275,-0.014777973,-0.009756803,-0.004853315,0.009801772,-0.072724728,36550
26/01/2000,3.91422,3.9435,3.91422,3.91422,1553800,3.45136,0.002500908,-0.014777973,-0.009756803,-0.004853315,0.009801772,36551
27/01/2000,3.9435,3.9435,3.8947,3.8947,1242400,3.43414,-0.004989338,0.002500908,-0.014777973,-0.009756803,-0.004853315,36552
