Date,Numeric_date,PT ,ES,IT,IE,GR,DE,PT _spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Lag1,Lag2,Lag3,Lag4,PT_price,ES_price,IT_price,IE_price,GR_price,DE_price
02/01/2001,36893,5.13,5.086,5.16,4.973,5.361,4.739,0.391,0.347,0.421,0.234,0.622,,,,,,60.63639255,60.89075887,60.46363121,61.54941226,59.32000249,62.9384102
03/01/2001,36894,5.104,5.061,5.128,4.954,5.265,4.719,0.385,0.342,0.409,0.235,0.546,-0.006,,,,,60.78655833,61.03580794,60.64792927,61.66092701,59.86321704,63.05871794
04/01/2001,36895,5.119,5.07,5.131,4.966,5.285,4.73,0.389,0.34,0.401,0.236,0.555,0.004,,,,,60.69987437,60.98354654,60.6306251,61.59047081,59.74959768,62.99251741
05/01/2001,36896,5.076,5.033,5.091,4.922,5.253,4.693,0.383,0.34,0.398,0.229,0.56,-0.006,,,,,60.94873295,61.19871429,60.86179458,61.84924404,59.93150272,63.21549634
08/01/2001,36899,5.096,5.041,5.096,4.931,5.269,4.706,0.39,0.335,0.39,0.225,0.563,0.007,-0.006,0.004,-0.006,0,60.83284544,61.15212087,60.83284544,61.79621601,59.84047416,63.13705361
09/01/2001,36900,5.149,5.083,5.136,4.979,5.292,4.75,0.399,0.333,0.386,0.229,0.542,0.009,0.007,-0.006,0.004,-0.006,60.52691409,60.90814472,60.60179689,61.51424317,59.70988696,62.87234858
10/01/2001,36901,5.18,5.124,5.177,5.013,5.321,4.785,0.395,0.339,0.392,0.228,0.536,-0.004,0.009,0.007,-0.006,0.004,60.34875781,60.67100994,60.36597351,61.31536878,59.54568013,62.66265945
11/01/2001,36902,5.132,5.094,5.152,4.986,5.3,4.76,0.372,0.334,0.392,0.226,0.54,-0.023,-0.004,0.009,0.007,-0.006,60.62485825,60.84442328,60.5096479,61.47324051,59.66453883,62.81235875
12/01/2001,36903,5.208,5.165,5.215,5.057,5.338,4.83,0.378,0.335,0.385,0.227,0.508,0.006,-0.023,-0.004,0.009,0.007,60.18833817,60.43489033,60.14830659,61.05905104,59.44965194,62.3941887
15/01/2001,36906,5.195,5.16,5.208,5.047,5.365,4.821,0.374,0.339,0.387,0.226,0.544,-0.004,0.006,-0.023,-0.004,0.009,60.26276031,60.46363121,60.18833817,61.11720141,59.29748653,62.44778146
16/01/2001,36907,5.232,5.188,5.232,5.077,5.367,4.847,0.385,0.341,0.385,0.23,0.52,0.011,-0.004,0.006,-0.023,-0.004,60.05120892,60.30287569,60.05120892,60.94293281,59.28623207,62.29309591
17/01/2001,36908,5.193,5.164,5.206,5.054,5.379,4.822,0.371,0.342,0.384,0.232,0.557,-0.014,0.011,-0.004,0.006,-0.023,60.27421885,60.4406373,60.19978115,61.07648976,59.21875465,62.44182421
18/01/2001,36909,5.177,5.147,5.189,5.039,5.379,4.811,0.366,0.336,0.378,0.228,0.568,-0.005,-0.014,0.011,-0.004,0.006,60.36597351,60.53842789,60.29714312,61.16376556,59.21875465,62.50738838
19/01/2001,36910,5.211,5.17,5.214,5.068,5.367,4.844,0.367,0.326,0.37,0.224,0.523,0.001,-0.005,-0.014,0.011,-0.004,60.17117819,60.40616447,60.1540236,60.99515593,59.28623207,62.31092271
22/01/2001,36913,5.22,5.19,5.238,5.09,5.386,4.866,0.354,0.324,0.372,0.224,0.52,-0.013,0.001,-0.005,-0.014,0.011,60.11973054,60.29141116,60.01698033,60.86758622,59.17943183,62.18032301
23/01/2001,36914,5.203,5.168,5.222,5.064,5.366,4.846,0.357,0.322,0.376,0.218,0.52,0.003,-0.013,0.001,-0.005,-0.014,60.2169501,60.41765301,60.1083043,61.018382,59.291859,62.29903755
24/01/2001,36915,5.231,5.197,5.26,5.1,5.416,4.877,0.354,0.32,0.383,0.223,0.539,-0.003,0.003,-0.013,0.001,-0.005,60.05691578,60.25130416,59.891659,60.80969704,59.01123051,62.11513609
25/01/2001,36916,5.236,5.199,5.26,5.096,5.402,4.878,0.358,0.321,0.382,0.218,0.524,0.004,-0.003,0.003,-0.013,0.001,60.02838748,60.23985041,59.891659,60.83284544,59.08965893,62.10921374
26/01/2001,36917,5.232,5.179,5.236,5.068,5.375,4.852,0.38,0.327,0.384,0.216,0.523,0.022,0.004,-0.003,0.003,-0.013,60.05120892,60.35449578,60.02838748,60.99515593,59.24123773,62.26339703
29/01/2001,36920,5.225,5.177,5.233,5.06,5.382,4.848,0.377,0.329,0.385,0.212,0.534,-0.003,0.022,0.004,-0.003,0.003,60.09116942,60.36597351,60.04550267,61.0416178,59.20189849,62.28715488
30/01/2001,36921,5.198,5.149,5.208,5.033,5.381,4.822,0.376,0.327,0.386,0.211,0.559,-0.001,-0.003,0.022,0.004,-0.003,60.24557699,60.52691409,60.18833817,61.19871429,59.20751662,62.44182421
31/01/2001,36922,5.161,5.119,5.182,5.006,5.347,4.797,0.364,0.322,0.385,0.209,0.55,-0.012,-0.001,-0.003,0.022,0.004,60.45788183,60.69987437,60.33728368,61.35625562,59.39888247,62.59094322
01/02/2001,36923,5.159,5.109,5.17,4.994,5.323,4.789,0.37,0.32,0.381,0.205,0.534,0.006,-0.012,-0.001,-0.003,0.022,60.46938119,60.75764855,60.40616447,61.42641714,59.53437385,62.638744
02/02/2001,36924,5.144,5.104,5.166,4.984,5.313,4.787,0.357,0.317,0.379,0.197,0.526,-0.013,0.006,-0.012,-0.001,-0.003,60.55570311,60.78655833,60.42914396,61.48495249,59.5909289,62.65070047
05/02/2001,36927,5.124,5.088,5.149,4.963,5.299,4.768,0.356,0.32,0.381,0.195,0.531,-0.001,-0.013,0.006,-0.012,-0.001,60.67100994,60.87917133,60.52691409,61.60807655,59.67020527,62.76441222
06/02/2001,36928,5.137,5.098,5.149,4.967,5.299,4.774,0.363,0.324,0.375,0.193,0.525,0.007,-0.001,-0.013,0.006,-0.012,60.59603306,60.82127003,60.52691409,61.58460346,59.67020527,62.72847874
07/02/2001,36929,5.126,5.084,5.147,4.955,5.284,4.755,0.371,0.329,0.392,0.2,0.529,0.008,0.007,-0.001,-0.013,0.006,60.65946839,60.90234883,60.53842789,61.65505228,59.75527301,62.84234579
08/02/2001,36930,5.155,5.115,5.182,4.995,5.309,4.796,0.359,0.319,0.386,0.199,0.513,-0.012,0.008,0.007,-0.001,-0.013,60.49238713,60.72297679,60.33728368,61.42056698,59.61356746,62.59691612
09/02/2001,36931,5.123,5.087,5.156,4.961,5.292,4.771,0.352,0.316,0.385,0.19,0.521,-0.007,-0.012,0.008,0.007,-0.001,60.67678162,60.8849648,60.48663474,61.61981679,59.70988696,62.74644265
12/02/2001,36934,5.125,5.083,5.145,4.955,5.287,4.764,0.361,0.319,0.381,0.191,0.523,0.009,-0.007,-0.012,0.008,0.007,60.66523886,60.90814472,60.5499441,61.65505228,59.7382488,62.78838045
13/02/2001,36935,5.126,5.087,5.145,4.952,5.278,4.761,0.365,0.326,0.384,0.191,0.517,0.004,0.009,-0.007,-0.012,0.008,60.65946839,60.8849648,60.5499441,61.67267833,59.78933745,62.80636323
14/02/2001,36936,5.15,5.108,5.17,4.977,5.305,4.784,0.366,0.324,0.386,0.193,0.521,0.001,0.004,0.009,-0.007,-0.012,60.52115809,60.7634293,60.40616447,61.52596374,59.63621549,62.66863988
15/02/2001,36937,5.213,5.169,5.231,5.048,5.345,4.841,0.372,0.328,0.39,0.207,0.504,0.006,0.001,0.004,0.009,-0.007,60.1597412,60.41190844,60.05691578,61.11138363,59.41016045,62.32875513
16/02/2001,36938,5.188,5.15,5.208,5.025,5.367,4.818,0.37,0.332,0.39,0.207,0.549,-0.002,0.006,0.001,0.004,0.009,60.30287569,60.52115809,60.18833817,61.24534676,59.28623207,62.46565697
19/02/2001,36941,5.177,5.139,5.196,5.011,5.345,4.802,0.375,0.337,0.394,0.209,0.543,0.005,-0.002,0.006,0.001,0.004,60.36597351,60.5845072,60.25703194,61.32704767,59.41016045,62.56108811
20/02/2001,36942,5.202,5.164,5.23,5.029,5.375,4.818,0.384,0.346,0.412,0.211,0.557,0.009,0.005,-0.002,0.006,0.001,60.22267428,60.4406373,60.06262323,61.22202564,59.24123773,62.46565697
21/02/2001,36943,5.232,5.186,5.252,5.051,5.383,4.84,0.392,0.346,0.412,0.211,0.543,0.008,0.009,0.005,-0.002,0.006,60.05120892,60.31434262,59.93719706,61.09393396,59.19628095,62.33470051
22/02/2001,36944,5.237,5.195,5.262,5.077,5.419,4.852,0.385,0.343,0.41,0.225,0.567,-0.007,0.008,0.009,0.005,-0.002,60.02268361,60.26276031,59.88028043,60.94293281,58.99443932,62.26339703
23/02/2001,36945,5.216,5.164,5.236,5.045,5.392,4.828,0.388,0.336,0.408,0.217,0.564,0.003,-0.007,0.008,0.009,0.005,60.14259019,60.4406373,60.02838748,61.12883879,59.14574942,62.40609383
26/02/2001,36948,5.216,5.166,5.24,5.048,5.372,4.83,0.386,0.336,0.41,0.218,0.542,-0.002,0.003,-0.007,0.008,0.009,60.14259019,60.42914396,60.00557557,61.11138363,59.2581062,62.3941887
27/02/2001,36949,5.142,5.098,5.176,4.975,5.326,4.757,0.385,0.341,0.419,0.218,0.569,-0.001,-0.002,0.003,-0.007,0.008,60.56722294,60.82127003,60.37171327,61.53768677,59.51741885,62.83034908
28/02/2001,36950,5.138,5.093,5.168,4.969,5.3,4.754,0.384,0.339,0.414,0.215,0.546,-0.001,-0.001,-0.002,0.003,-0.007,60.59026983,60.85021311,60.41765301,61.5728706,59.66453883,62.84834509
01/03/2001,36951,5.139,5.089,5.166,4.962,5.281,4.746,0.393,0.343,0.42,0.216,0.535,0.009,-0.001,-0.001,-0.002,0.003,60.5845072,60.87337847,60.42914396,61.61394637,59.77230256,62.89636216
02/03/2001,36952,5.12,5.079,5.161,4.953,5.301,4.735,0.385,0.344,0.426,0.218,0.566,-0.008,0.009,-0.001,-0.001,-0.002,60.69410027,60.93133435,60.45788183,61.66680236,59.65887298,62.96245153
05/03/2001,36955,5.145,5.103,5.183,4.976,5.322,4.758,0.387,0.345,0.425,0.218,0.564,0.002,-0.008,0.009,-0.001,-0.001,60.5499441,60.7923421,60.33154752,61.53182495,59.54002669,62.82435168
06/03/2001,36956,5.134,5.102,5.179,4.972,5.332,4.751,0.383,0.351,0.428,0.221,0.581,-0.004,0.002,-0.008,0.009,-0.001,60.61332637,60.79812647,60.35449578,61.55527592,59.48352478,62.86634676
07/03/2001,36957,5.138,5.102,5.179,4.976,5.332,4.751,0.387,0.351,0.428,0.225,0.581,0.004,-0.004,0.002,-0.008,0.009,60.59026983,60.79812647,60.35449578,61.53182495,59.48352478,62.86634676
08/03/2001,36958,5.124,5.058,5.141,4.929,5.309,4.709,0.415,0.349,0.432,0.22,0.6,0.028,0.004,-0.004,0.002,-0.008,60.67100994,61.05323935,60.57298376,61.80799569,59.61356746,63.11896665
09/03/2001,36959,5.131,5.063,5.145,4.937,5.286,4.717,0.414,0.346,0.428,0.22,0.569,-0.001,0.028,0.004,-0.004,0.002,60.6306251,61.02419004,60.5499441,61.76089178,59.74392294,63.07076262
12/03/2001,36962,5.118,5.053,5.14,4.922,5.278,4.708,0.41,0.345,0.432,0.214,0.57,-0.004,-0.001,0.028,0.004,-0.004,60.70564907,61.08230388,60.57874518,61.84924404,59.78933745,63.124995
