"","BBVA.MC.Open","BBVA.MC.High","BBVA.MC.Low","BBVA.MC.Close","BBVA.MC.Volume","BBVA.MC.Adjusted"
"2001-01-01",15.41358,15.41358,15.41358,15.41358,0,8.11533
"2001-01-02",15.46216,15.46216,14.83015,15.05374,9011100,7.92587
"2001-01-03",14.6939,15.26772,14.64532,14.82033,11042100,7.80298
"2001-01-04",15.41358,16.02626,14.92732,15.92899,23483100,8.38669
"2001-01-05",15.87059,16.22071,15.87059,16.09428,21568800,8.47372
"2001-01-08",15.97758,16.31798,15.7637,16.30826,19866200,8.58638
"2001-01-09",16.19156,16.48327,15.95814,16.27901,14464300,8.57098
"2001-01-10",16.26929,16.386,15.97758,15.98729,14595400,8.44495
"2001-01-11",15.75388,16.13315,15.75388,16.12344,11430000,8.51686
"2001-01-12",16.14287,16.49299,16.12344,16.43469,11502500,8.68127
"2001-01-15",16.29855,16.386,16.1624,16.30826,13104600,8.61449
"2001-01-16",16.21099,16.29855,15.99701,16.05542,9260800,8.48093
"2001-01-17",16.06513,16.65828,16.06513,16.43469,23074800,8.68127
"2001-01-18",16.39572,16.74584,16.34713,16.7264,14545900,8.83537
"2001-01-19",16.77499,16.82367,16.43469,16.67782,20213200,8.8097
"2001-01-22",16.35685,16.70697,16.35685,16.45412,12546900,8.69154
"2001-01-23",16.35685,16.69725,16.17212,16.58054,11371400,8.75832
"2001-01-25",16.40554,16.67782,16.40554,16.59998,9849700,8.76859
"2001-01-29",16.39572,16.43469,16.0457,16.05542,12111500,8.48093
"2001-01-30",16.24014,16.33741,16.14287,16.33741,8011900,8.62989
"2001-01-31",16.33741,16.7264,16.25958,16.7264,14491700,8.83537
"2001-02-01",16.62913,16.82367,16.53186,16.7264,14299800,8.83537
"2001-02-02",16.7264,16.7264,16.24014,16.24986,12947300,8.58364
"2001-02-05",16.14287,16.43469,16.09428,16.37628,7112700,8.65042
"2001-02-06",16.37628,16.43469,16.18184,16.29855,8552800,8.60936
"2001-02-07",16.24014,16.386,16.0457,16.33741,7227000,8.62989
