"","BKIA.MC.Open","BKIA.MC.High","BKIA.MC.Low","BKIA.MC.Close","BKIA.MC.Volume","BKIA.MC.Adjusted"
"2011-08-03",0.46328,0.47169,0.45658,0.45719,1653300,43.61165
"2011-08-04",0.45962,0.46133,0.44768,0.45109,614400,43.03015
"2011-08-05",0.45109,0.4584,0.4328,0.45109,659500,43.03015
"2011-08-08",0.44865,0.45706,0.44134,0.44743,548400,42.6813
"2011-08-09",0.45109,0.45694,0.44012,0.45353,391500,43.26271
"2011-08-10",0.45231,0.45645,0.42695,0.4389,446100,41.86713
"2011-08-11",0.45109,0.45109,0.41707,0.43183,675400,41.19262
"2011-08-12",0.43743,0.45719,0.42915,0.45719,210600,43.61165
"2011-08-15",0.45597,0.4595,0.45243,0.4595,94500,43.83258
"2011-08-16",0.45231,0.4584,0.45109,0.45597,195200,43.49537
"2011-08-17",0.45597,0.4584,0.45243,0.4584,303300,43.72793
"2011-08-18",0.45584,0.45816,0.45182,0.45816,199000,43.70466
"2011-08-19",0.4556,0.45719,0.43414,0.45109,253600,43.03015
"2011-08-22",0.43268,0.44865,0.43268,0.44865,128100,42.79758
"2011-08-23",0.44829,0.45097,0.44646,0.44829,124200,42.76267
"2011-08-24",0.44829,0.4517,0.44743,0.44829,53500,42.76267
"2011-08-25",0.45109,0.45109,0.44804,0.45109,240800,43.03015
"2011-08-26",0.44987,0.45353,0.44743,0.45353,43500,43.26271
"2011-08-29",0.44999,0.45341,0.44975,0.45048,59700,42.97196
"2011-08-30",0.44987,0.45353,0.44621,0.45353,76100,43.26271
"2011-08-31",0.4478,0.45719,0.4478,0.45719,314900,43.61165
"2011-09-01",0.45109,0.45694,0.45109,0.45694,111300,43.58838
"2011-09-02",0.45719,0.45719,0.45048,0.45719,88600,43.61165
"2011-09-05",0.45085,0.45584,0.44646,0.44743,107800,42.6813
"2011-09-06",0.44743,0.45072,0.44499,0.44987,97200,42.91386
"2011-09-07",0.44987,0.45475,0.44926,0.45231,149500,43.14643
"2011-09-08",0.45268,0.45475,0.44987,0.44987,213300,42.91386
"2011-09-09",0.45109,0.4528,0.44377,0.44499,190900,42.44864
"2011-09-12",0.4428,0.44499,0.4328,0.43878,99100,41.85559
"2011-09-13",0.43768,0.44195,0.43768,0.44012,194800,41.98351
"2011-09-14",0.44195,0.44499,0.43512,0.43829,117200,41.80904
"2011-09-15",0.4389,0.44426,0.4328,0.43829,113900,41.80904
"2011-09-16",0.4367,0.44499,0.43463,0.44499,190300,42.44864
"2011-09-19",0.43573,0.44292,0.43573,0.43768,66100,41.75085
"2011-09-20",0.43646,0.43951,0.43585,0.43719,97200,41.70439
"2011-09-21",0.43743,0.44524,0.43305,0.44524,125400,42.47191
"2011-09-22",0.43646,0.44499,0.43646,0.44499,67700,42.44864
"2011-09-23",0.43878,0.44377,0.43646,0.44377,161500,42.33236
"2011-09-26",0.43463,0.44499,0.43463,0.44499,111400,42.44864
"2011-09-27",0.44207,0.45109,0.44207,0.45109,152100,43.03015
"2011-09-28",0.45048,0.45219,0.44743,0.4517,148400,43.08833
"2011-09-29",0.45109,0.45706,0.4489,0.45706,570500,43.60002
"2011-09-30",0.45109,0.45804,0.4467,0.4467,1308800,42.61147
"2011-10-03",0.44499,0.44499,0.43597,0.43939,443900,41.91368
"2011-10-04",0.43768,0.44073,0.42975,0.43219,387800,41.22753
"2011-10-05",0.43463,0.43646,0.43146,0.43329,349400,41.33218
"2011-10-06",0.4389,0.44243,0.43768,0.43987,280400,41.96023
"2011-10-07",0.44377,0.44475,0.43939,0.44024,209700,41.99505
"2011-10-10",0.44256,0.44475,0.4389,0.44012,233600,41.98351
"2011-10-11",0.4389,0.44243,0.4389,0.44012,203700,41.98351
"2011-10-12",0.43768,0.44633,0.43768,0.44134,77000,42.09979
"2011-10-13",0.44743,0.44743,0.43902,0.44621,232700,42.56492
"2011-10-14",0.44304,0.45097,0.43975,0.45097,277100,43.01851
"2011-10-17",0.45109,0.45316,0.44755,0.45109,243200,43.03015
"2011-10-18",0.45048,0.4517,0.44536,0.45048,156300,42.97196
"2011-10-19",0.44755,0.45048,0.44365,0.44377,174500,42.33236
"2011-10-20",0.44256,0.44499,0.4389,0.44012,109300,41.98351
"2011-10-21",0.44012,0.44548,0.43719,0.44499,185700,42.44864
"2011-10-24",0.43902,0.44377,0.43878,0.44134,104200,42.09979
"2011-10-25",0.44134,0.44499,0.43707,0.44499,161400,42.44864
"2011-10-26",0.44085,0.44414,0.43902,0.44073,179000,42.0416
"2011-10-27",0.44219,0.44499,0.42549,0.44499,198700,42.44864
"2011-10-28",0.44146,0.44804,0.44012,0.44804,315200,42.73939
"2011-10-31",0.44134,0.44621,0.44134,0.4456,196800,42.50683
"2011-11-01",0.4389,0.44487,0.4328,0.4389,113500,41.86713
"2011-11-02",0.43719,0.44426,0.43597,0.43878,161400,41.85559
"2011-11-03",0.4339,0.43951,0.43366,0.4389,198800,41.86713
"2011-11-04",0.43817,0.44195,0.43743,0.43902,144500,41.87877
"2011-11-07",0.43646,0.43841,0.43439,0.43524,96000,41.51829
"2011-11-08",0.43646,0.43804,0.43451,0.43524,70600,41.51829
"2011-11-09",0.43658,0.43707,0.42671,0.43402,96700,41.402
"2011-11-10",0.42683,0.43219,0.42683,0.42793,157900,40.8205
"2011-11-11",0.42671,0.43756,0.42671,0.43402,151600,41.402
"2011-11-14",0.43585,0.43756,0.42866,0.4328,71100,41.28572
"2011-11-15",0.42927,0.43134,0.42732,0.42793,99100,40.8205
"2011-11-16",0.42671,0.43024,0.42061,0.42061,163600,40.12271
"2011-11-17",0.42122,0.42305,0.4189,0.4189,190300,39.95987
"2011-11-18",0.42061,0.42549,0.41573,0.41573,275000,39.65748
"2011-11-21",0.41512,0.42183,0.40842,0.40842,112500,38.9597
"2011-11-22",0.40842,0.41086,0.39562,0.39867,303600,38.02934
"2011-11-23",0.39379,0.39684,0.38672,0.39025,257500,37.22691
"2011-11-24",0.38769,0.38952,0.3816,0.38404,228800,36.63376
"2011-11-25",0.38404,0.38574,0.38038,0.38404,211700,36.63376
"2011-11-28",0.38404,0.40184,0.38404,0.39988,217100,38.14562
"2011-11-29",0.40647,0.41391,0.40244,0.41391,136400,39.48311
"2011-11-30",0.41391,0.45353,0.40903,0.45353,586100,43.26271
"2011-12-01",0.43475,0.44426,0.43085,0.43402,238800,41.402
"2011-12-02",0.43634,0.43853,0.43061,0.43707,147400,41.69276
"2011-12-05",0.4328,0.44646,0.4328,0.4439,148200,42.344
"2011-12-06",0.44499,0.44499,0.4389,0.4389,101500,41.86713
"2011-12-07",0.43646,0.44012,0.42439,0.43036,330100,41.05306
"2011-12-08",0.42927,0.43756,0.42451,0.42658,340700,40.69258
"2011-12-09",0.42427,0.43402,0.42427,0.43146,101000,41.1578
"2011-12-12",0.43646,0.43646,0.42061,0.42744,69200,40.77395
"2011-12-13",0.42671,0.43402,0.42122,0.43402,147400,41.402
"2011-12-14",0.43036,0.43768,0.42671,0.43768,313600,41.75085
"2011-12-15",0.4328,0.43878,0.4328,0.43731,112500,41.71594
"2011-12-16",0.4328,0.44219,0.43158,0.44219,611100,42.18116
"2011-12-19",0.43158,0.44134,0.43049,0.4389,237300,41.86713
"2011-12-20",0.43536,0.44377,0.43524,0.44377,210600,42.33236
"2011-12-21",0.44195,0.44256,0.4328,0.4389,179500,41.86713
"2011-12-22",0.43658,0.43878,0.4328,0.43829,119300,41.80904
"2011-12-23",0.43866,0.4389,0.43561,0.43829,1824800,41.80904
"2011-12-26",0.43829,0.43829,0.43829,0.43829,0,41.80904
"2011-12-27",0.4328,0.43817,0.42988,0.43536,98300,41.52992
"2011-12-28",0.4328,0.43622,0.42732,0.43036,87300,41.05306
"2011-12-29",0.43256,0.4328,0.42061,0.42658,371900,40.69258
"2011-12-30",0.4272,0.4389,0.425,0.43829,96100,41.80904
"2012-01-02",0.435,0.4389,0.43292,0.43878,64800,41.85559
"2012-01-03",0.43658,0.43878,0.43073,0.43524,278000,41.51829
"2012-01-04",0.43743,0.4389,0.43085,0.4367,105000,41.65784
"2012-01-05",0.43292,0.43622,0.42671,0.42805,138800,40.83213
"2012-01-06",0.42805,0.43768,0.42768,0.435,95400,41.49501
"2012-01-09",0.43378,0.43768,0.43231,0.43305,84400,41.3089
"2012-01-10",0.43561,0.4378,0.43,0.4328,151700,41.28572
"2012-01-11",0.43158,0.43719,0.42878,0.43536,206200,41.52992
"2012-01-12",0.43451,0.43866,0.43195,0.43195,204300,41.20426
"2012-01-13",0.42963,0.4389,0.42963,0.43524,181100,41.51829
"2012-01-16",0.43097,0.43768,0.43097,0.43707,58000,41.69276
"2012-01-17",0.4389,0.44182,0.43536,0.44182,209200,42.14625
"2012-01-18",0.44256,0.44256,0.43341,0.435,190300,41.49501
"2012-01-19",0.4389,0.44012,0.43536,0.43951,230700,41.92532
"2012-01-20",0.44012,0.44012,0.4328,0.4328,208200,41.28572
"2012-01-23",0.4328,0.43573,0.42939,0.43548,193100,41.54156
"2012-01-24",0.43097,0.43646,0.42939,0.43646,252700,41.63457
"2012-01-25",0.435,0.43646,0.42744,0.4328,240700,41.28572
"2012-01-26",0.4328,0.43585,0.43097,0.43207,245000,41.21589
"2012-01-27",0.43207,0.4328,0.42061,0.42671,311500,40.70421
"2012-01-30",0.42183,0.42646,0.4172,0.42146,139700,40.20408
"2012-01-31",0.42146,0.42549,0.41951,0.42256,107100,40.30882
"2012-02-01",0.42317,0.43451,0.42195,0.43451,240100,41.44855
"2012-02-02",0.43292,0.43512,0.42817,0.43402,281400,41.402
"2012-02-03",0.42975,0.43451,0.42878,0.4328,281900,41.28572
"2012-02-06",0.43097,0.43268,0.42695,0.42866,153100,40.89023
"2012-02-07",0.42793,0.43097,0.42561,0.43097,153400,41.11125
"2012-02-08",0.43158,0.43256,0.42451,0.43195,214000,41.20426
"2012-02-09",0.43024,0.43427,0.42927,0.43414,271100,41.41364
"2012-02-10",0.43414,0.43609,0.42975,0.42975,245700,40.99497
"2012-02-13",0.43158,0.43195,0.41707,0.42524,251600,40.56466
"2012-02-14",0.41939,0.42305,0.4172,0.42061,334800,40.12271
"2012-02-15",0.42317,0.42366,0.40683,0.40683,572600,38.8085
"2012-02-16",0.39123,0.39123,0.36697,0.37721,1131300,35.98253
"2012-02-17",0.3816,0.38489,0.37184,0.37489,902000,35.76151
"2012-02-20",0.37672,0.37916,0.37465,0.37794,380000,36.05226
"2012-02-21",0.37794,0.3816,0.37428,0.37562,286700,35.83133
"2012-02-22",0.37562,0.37672,0.37184,0.37184,558300,35.47075
"2012-02-23",0.37184,0.37526,0.3688,0.37184,770500,35.47075
"2012-02-24",0.37184,0.37294,0.36941,0.37184,814200,35.47075
"2012-02-27",0.36953,0.37062,0.36941,0.36977,536200,35.2731
"2012-02-28",0.36941,0.37123,0.36941,0.37062,805300,35.35447
"2012-02-29",0.36965,0.3738,0.36953,0.37014,436000,35.30802
"2012-03-01",0.36941,0.37099,0.36941,0.36941,461100,35.23819
"2012-03-02",0.37038,0.37306,0.37002,0.37002,425400,35.29637
"2012-03-05",0.36965,0.37062,0.36941,0.36941,487000,35.23819
"2012-03-06",0.36941,0.37038,0.36575,0.36575,1026000,34.88934
"2012-03-07",0.36575,0.36672,0.36575,0.36575,1186700,34.88934
"2012-03-08",0.36697,0.36806,0.36575,0.36575,865600,34.88934
"2012-03-09",0.36575,0.36697,0.36575,0.36697,1684300,35.00562
"2012-03-12",0.36611,0.36685,0.36575,0.36575,1771300,34.88934
"2012-03-13",0.36575,0.36587,0.34905,0.36026,632900,34.36593
"2012-03-14",0.36185,0.36221,0.35612,0.36185,585900,34.51712
"2012-03-15",0.36246,0.36246,0.35356,0.35892,511900,34.23801
"2012-03-16",0.35782,0.36002,0.34746,0.36002,587800,34.34275
"2012-03-19",0.35843,0.36721,0.35599,0.36636,338800,34.94743
"2012-03-20",0.3666,0.36685,0.36099,0.36648,307800,34.95907
"2012-03-21",0.36648,0.36697,0.35734,0.35965,268100,34.30784
"2012-03-22",0.35758,0.36075,0.35441,0.35831,549700,34.17991
"2012-03-23",0.35758,0.35819,0.3499,0.35636,560500,33.99381
"2012-03-26",0.35575,0.35843,0.35136,0.3549,424000,33.85425
"2012-03-27",0.35599,0.35843,0.34673,0.34807,524200,33.20301
"2012-03-28",0.34588,0.34624,0.33222,0.33551,880800,32.00508
"2012-03-29",0.33283,0.33442,0.32673,0.32917,614600,31.4004
"2012-03-30",0.32796,0.33161,0.32357,0.33112,648200,31.58641
"2012-04-02",0.33039,0.33759,0.32454,0.33649,295600,32.09818
"2012-04-03",0.33527,0.34112,0.32673,0.32673,357100,31.16774
"2012-04-04",0.32344,0.32381,0.30223,0.31235,1042600,29.79543
"2012-04-05",0.31235,0.31637,0.30808,0.31284,412700,29.84199
"2012-04-06",0.31284,0.31284,0.31284,0.31284,0,29.84199
"2012-04-09",0.31284,0.31284,0.31284,0.31284,0,29.84199
"2012-04-10",0.30711,0.30942,0.30211,0.30479,663700,29.07447
"2012-04-11",0.30211,0.30906,0.30211,0.30845,603200,29.42331
"2012-04-12",0.30918,0.32613,0.3065,0.3204,388400,30.56305
"2012-04-13",0.31942,0.3204,0.30723,0.31015,454300,29.58615
"2012-04-16",0.30723,0.31698,0.30723,0.31089,236300,29.65588
"2012-04-17",0.32186,0.32235,0.30894,0.3182,390800,30.35367
"2012-04-18",0.32247,0.32308,0.30772,0.31491,310200,30.03973
"2012-04-19",0.31406,0.31698,0.30845,0.30979,426900,29.55123
"2012-04-20",0.31454,0.31942,0.30747,0.31052,592600,29.62106
"2012-04-23",0.30857,0.31332,0.3004,0.30284,225100,28.88836
"2012-04-24",0.30247,0.31089,0.30186,0.30772,478700,29.35358
"2012-04-25",0.30601,0.31576,0.3054,0.3093,417800,29.50468
"2012-04-26",0.30796,0.31089,0.30601,0.31003,238800,29.57451
"2012-04-27",0.30601,0.31576,0.30406,0.31576,299400,30.1211
