"","BKT.MC.Open","BKT.MC.High","BKT.MC.Low","BKT.MC.Close","BKT.MC.Volume","BKT.MC.Adjusted"
"2001-01-01",53.25796,53.25796,53.25796,53.25796,0,5.25446
"2001-01-02",53.69686,55.30631,52.30689,53.91635,5424900,5.31941
"2001-01-03",52.76049,55.43799,52.76049,55.30631,6175900,5.45655
"2001-01-04",58.51061,58.52523,56.79872,56.84258,14707900,5.60812
"2001-01-05",57.06207,58.30574,56.84258,57.45711,11672900,5.66875
"2001-01-08",57.20837,57.72046,57.06207,57.14988,4875800,5.63844
"2001-01-09",57.86676,58.01314,57.06207,57.28156,4007600,5.65143
"2001-01-10",57.42786,57.91071,57.06207,57.51567,3686300,5.67453
"2001-01-11",57.86676,57.89608,57.06207,57.14988,3874500,5.63844
"2001-01-12",57.63273,58.59834,57.42786,58.46666,10387300,5.76835
"2001-01-15",58.78858,60.07612,58.52523,59.24211,11038100,5.84486
"2001-01-16",59.34454,59.76889,57.72046,57.86676,11307800,5.70916
"2001-01-17",59.54941,60.71988,58.52523,58.52523,18663200,5.77413
"2001-01-18",59.32992,61.80263,59.32992,61.80263,52338200,6.09748
"2001-01-19",62.91462,63.20722,62.06598,63.00235,23173100,6.21584
"2001-01-22",62.25615,63.7925,61.30516,61.96355,12788200,6.11336
"2001-01-23",61.5539,65.98715,61.5539,64.52407,22483000,6.36598
"2001-01-25",63.00235,64.21678,63.00235,63.83636,13854200,6.29813
"2001-01-29",64.74348,64.74348,63.49982,63.7925,2534700,6.2938
"2001-01-30",64.01191,64.52407,63.66082,64.46551,12487900,6.3602
"2001-01-31",64.48013,65.75304,63.66082,65.75304,9189900,6.48723
"2001-02-01",65.03616,65.66531,63.51444,64.08509,7035800,6.32267
"2001-02-02",64.77273,64.77273,61.80263,62.76832,5665500,6.19275
"2001-02-05",62.34396,62.84143,62.19766,62.62194,2990100,6.17831
"2001-02-06",62.56345,63.20722,61.93431,63.06092,6398100,6.22162
"2001-02-07",62.9,62.9,60.96862,61.36365,7085000,6.05417
"2001-02-08",61.12954,62.10985,61.05643,61.27592,6514100,6.04551
"2001-02-09",61.30516,62.91462,61.08567,61.81725,3257100,6.09892
"2001-02-12",62.28547,62.82681,61.83187,62.27085,6762600,6.14367
"2001-02-13",62.60732,62.81218,62.03674,62.69513,2849100,6.18553
"2001-02-14",62.18304,62.73899,60.71988,60.74913,4197100,5.99354
"2001-02-15",61.17348,62.4464,60.79307,61.93431,4414400,6.11047
"2001-02-16",62.18304,62.18304,60.47115,61.27592,7277600,6.04551
"2001-02-19",60.57359,61.02719,60.44191,60.86619,3428000,6.00509
"2001-02-20",61.11492,61.11492,60.42728,60.71988,2898600,5.99065
"2001-02-21",60.71988,61.21735,60.13468,60.13468,10411100,5.93292
"2001-02-22",60.07612,60.07612,58.07163,58.32036,14626100,5.75392
"2001-02-23",58.80321,58.96413,57.42786,57.50105,5579000,5.67308
"2001-02-26",58.52523,58.52523,57.79365,57.89608,2868300,5.71206
"2001-02-27",58.48128,58.51061,57.42786,57.51567,9916000,5.67453
"2001-02-28",57.36929,58.23255,57.36929,57.72046,7344200,5.69473
"2001-03-01",57.79365,58.52523,57.51567,57.93995,2516400,5.71638
"2001-03-02",59.24211,60.00293,58.23255,59.95906,10252300,5.91559
"2001-03-05",60.01763,60.85156,59.69571,59.84201,3604900,5.90404
"2001-03-06",60.85156,61.15886,60.06149,60.85156,4160000,6.00365
"2001-03-07",61.01256,61.08567,59.30067,59.98831,2324100,5.91848
"2001-03-08",60.48577,60.48577,59.40311,59.63722,2060800,5.88384
"2001-03-09",59.97368,60.55896,59.27143,59.98831,2855100,5.91848
"2001-03-12",59.98831,60.42728,56.79872,57.44248,6392000,5.6673
"2001-03-13",57.06207,58.21793,56.34512,56.34512,16189100,5.55904
"2001-03-15",55.5843,56.24268,54.15046,54.20895,7577200,5.34828
"2001-03-16",54.66255,55.14539,53.55056,53.96021,6646200,5.32374
"2001-03-19",53.91635,54.82347,53.91635,54.56012,3136100,5.38293
"2001-03-20",55.24783,55.90622,54.89666,55.04296,5908900,5.43057
"2001-03-21",54.79423,54.79423,54.13584,54.53087,6484500,5.38004
"2001-03-22",54.72104,55.29169,52.23378,52.46782,11248300,5.1765
"2001-03-23",54.13584,54.13584,52.52638,52.81898,4020100,5.21115
"2001-03-26",53.97484,54.41382,53.12628,54.16508,6874900,5.34395
"2001-03-27",54.70642,55.5258,53.69686,55.43799,7784200,5.46954
"2001-03-28",54.72104,55.9647,54.57474,55.7453,9871600,5.49986
"2001-03-29",55.59892,55.86227,54.13584,55.17464,5392100,5.44356
"2001-03-30",54.28214,55.5843,54.28214,55.30631,7866900,5.45655
"2001-04-02",55.59892,55.87697,55.08683,55.87697,5845800,5.51285
"2001-04-03",55.27707,55.89159,55.08683,55.59892,7794100,5.48542
"2001-04-04",55.01372,56.98888,54.86742,56.76947,4169400,5.60091
"2001-04-05",56.35974,57.35467,55.97933,57.26694,5024600,5.64999
"2001-04-06",57.63273,58.01314,55.90622,56.21344,4939000,5.54605
"2001-04-09",54.73566,56.88653,54.73566,56.71091,4065600,5.59513
"2001-04-10",56.71091,57.34005,55.59892,57.12056,3298100,5.63554
"2001-04-11",57.19375,57.42786,56.33049,56.85721,5039900,5.60956
"2001-04-12",57.32543,57.42786,55.75992,56.25738,1703000,5.55038
"2001-04-13",56.25738,56.25738,56.25738,56.25738,0,5.55038
"2001-04-16",56.25738,56.25738,56.25738,56.25738,0,5.55038
"2001-04-17",56.25738,57.03283,55.89159,56.84258,3937700,5.60812
"2001-04-18",57.06207,58.37893,56.98888,58.37893,5893200,5.75969
"2001-04-19",59.40311,60.19317,58.30574,59.98831,14419000,5.91848
"2001-04-20",59.84201,60.26636,58.23255,58.52523,10252700,5.77413
"2001-04-23",58.52523,59.25681,57.36929,58.51061,3676800,5.77269
"2001-04-24",58.52523,59.11043,57.80827,59.11043,4172100,5.83186
"2001-04-25",59.11043,60.36872,58.08625,60.09074,5327300,5.92858
"2001-04-26",60.09074,60.54434,59.40311,59.98831,4034800,5.91848
"2001-04-27",59.84201,61.29054,59.43235,60.86619,4398800,6.00509
"2001-04-30",60.77845,61.30516,59.69571,61.01256,3558100,6.01953
"2001-05-01",61.01256,61.01256,61.01256,61.01256,0,6.01953
"2001-05-02",61.45146,61.56852,60.2078,60.77845,3755400,5.99643
"2001-05-03",61.08567,61.29054,58.67153,58.96413,6294900,5.81743
"2001-05-04",58.81783,59.84201,58.61296,59.28605,4751100,5.84919
"2001-05-07",59.28605,59.28605,59.28605,59.28605,0,5.84919
"2001-05-08",59.65184,61.30516,59.65184,60.77845,4587900,5.99643
"2001-05-09",60.77845,61.15886,60.06149,60.79307,4637500,5.99788
"2001-05-10",60.79307,62.51958,60.42728,62.05136,7816500,6.12202
"2001-05-11",62.02212,62.1538,61.33441,61.52465,5006100,6.07005
"2001-05-14",61.53927,62.56345,60.99786,62.10985,5422000,6.12779
"2001-05-15",61.74406,62.54883,61.74406,62.51958,2685800,6.16821
"2001-05-16",62.32934,62.32934,61.45146,61.96355,4479100,6.11336
"2001-05-17",62.70975,62.82681,62.10985,62.19766,4557200,6.13645
"2001-05-18",61.45146,63.64619,61.45146,62.98773,67662700,6.2144
"2001-05-21",63.28041,63.30965,61.53927,61.89044,2730100,6.10614
"2001-05-22",62.69513,62.91462,61.9928,62.03674,4372100,6.12058
"2001-05-23",62.10985,62.92924,62.10985,62.54883,2573800,6.1711
"2001-05-24",61.89044,62.62194,61.89044,62.03674,1513300,6.12058
"2001-05-25",62.30009,62.30009,59.98831,60.31023,8508700,5.95024
"2001-05-28",60.3541,61.07105,60.31023,60.32485,1677600,5.95168
"2001-05-29",60.3541,60.3541,59.40311,59.40311,2483200,5.86074
"2001-05-30",59.97368,60.57359,59.57865,60.2956,6622500,5.94879
"2001-05-31",59.98831,60.98324,59.62252,60.04687,3444800,5.92426
"2001-06-01",60.00293,60.47115,59.169,59.25681,3080300,5.84631
"2001-06-04",59.54941,59.76889,59.32992,59.53478,1777300,5.87373
"2001-06-05",59.72495,60.86619,59.15437,60.64677,5671500,5.98344
"2001-06-06",60.79307,61.14424,60.07612,60.07612,1736700,5.92714
"2001-06-07",60.01763,60.86619,59.40311,60.13468,2837000,5.93292
"2001-06-08",60.55896,61.29054,60.45653,60.45653,8539900,5.96467
"2001-06-11",60.23704,61.72944,60.19317,61.11492,3536000,6.02963
"2001-06-12",61.49533,61.49533,59.69571,59.9152,3654000,5.91126
"2001-06-13",60.14931,60.83694,59.69571,60.71988,4669600,5.99065
"2001-06-14",60.06149,60.86619,59.73957,60.86619,3185400,6.00509
"2001-06-15",60.14931,60.89551,59.169,60.13468,5937800,5.93292
"2001-06-18",59.78352,60.42728,57.8229,58.52523,2854200,5.77413
"2001-06-19",58.15944,59.47622,58.15944,59.47622,4741600,5.86795
"2001-06-20",59.62252,59.62252,57.95457,58.74464,7756300,5.79578
"2001-06-21",58.92026,59.44697,57.79365,57.79365,3601600,5.70195
"2001-06-22",58.67153,59.19824,58.23255,58.93488,3174200,5.81455
"2001-06-25",58.61296,59.85663,58.45204,59.25681,3027300,5.84631
"2001-06-26",59.62252,59.62252,57.95457,58.13019,3944600,5.73515
"2001-06-27",58.80321,59.169,58.13019,59.169,5455400,5.83764
"2001-06-28",58.96413,59.40311,58.02776,58.92026,9501000,5.8131
"2001-06-29",59.32992,59.32992,57.79365,57.79365,7000700,5.70195
"2001-07-02",58.18868,58.52523,57.79365,58.10087,6681400,5.73226
"2001-07-03",58.08625,58.24717,57.20837,57.91071,8272300,5.7135
"2001-07-04",57.99844,58.30574,57.28156,57.50105,3812500,5.67308
"2001-07-05",57.25232,57.79365,57.12056,57.12056,4105300,5.63554
"2001-07-06",57.10594,57.47173,55.16002,55.16002,10184500,5.44212
"2001-07-09",55.16002,57.04745,55.16002,56.69628,5280800,5.59368
"2001-07-10",56.40368,57.55954,56.05252,56.44755,4160500,5.56914
"2001-07-11",55.62824,56.54998,54.91128,55.30631,2692700,5.45655
"2001-07-12",55.6721,56.40368,54.13584,54.57474,2501400,5.38437
"2001-07-13",54.57474,54.57474,54.57474,54.57474,0,5.38437
"2001-07-16",55.08683,55.08683,53.62375,54.28214,9484900,5.3555
"2001-07-17",54.12121,55.89159,53.84316,55.70135,5167600,5.49552
"2001-07-18",56.60847,57.384,55.59892,55.59892,9643000,5.48542
"2001-07-19",55.95008,56.44755,54.86742,55.80378,10052800,5.50563
"2001-07-20",56.09638,56.60847,55.08683,56.60847,3013500,5.58502
"2001-07-23",56.47679,57.20837,56.25738,56.49141,2427500,5.57347
"2001-07-24",56.50612,56.62317,55.64286,56.09638,3650700,5.5345
"2001-07-25",56.47679,56.47679,54.48693,54.89666,5582600,5.41613
"2001-07-26",55.5843,56.25738,54.79423,56.25738,3313100,5.55038
"2001-07-27",56.30125,56.69628,55.02834,56.0379,4605900,5.52873
"2001-07-30",55.75992,57.35467,55.39413,57.35467,3083300,5.65864
"2001-07-31",57.04745,57.06207,56.33049,56.34512,3187500,5.55904
"2001-08-01",56.35974,57.58878,56.35974,57.06207,5339500,5.62977
"2001-08-02",57.20837,58.45204,56.91577,57.79365,4384500,5.70195
"2001-08-03",57.86676,58.37893,57.35467,57.51567,4752100,5.67453
"2001-08-06",57.64735,58.48128,57.39862,57.79365,1941000,5.70195
"2001-08-07",57.80827,57.93995,56.78409,57.06207,2673800,5.62977
"2001-08-08",57.06207,57.13526,56.49141,57.07669,1533700,5.63122
"2001-08-09",56.98888,56.98888,56.35974,56.40368,1436600,5.56482
"2001-08-10",56.84258,56.98888,55.71597,55.83303,1585600,5.50851
"2001-08-13",55.89159,57.00358,55.68673,56.69628,1622200,5.59368
"2001-08-14",56.59385,57.06207,56.54998,56.69628,2756700,5.59368
"2001-08-15",56.69628,56.69628,56.69628,56.69628,0,5.59368
"2001-08-16",56.16957,56.44755,55.68673,55.83303,2849500,5.50851
"2001-08-17",55.9647,56.31587,55.51118,56.31587,3059900,5.55615
"2001-08-20",55.89159,56.69628,55.89159,56.69628,2384000,5.59368
"2001-08-21",56.69628,56.98888,56.49141,56.76947,1871400,5.60091
"2001-08-22",56.47679,57.54492,56.33049,57.16451,2599400,5.63988
"2001-08-23",57.35467,57.79365,56.69628,57.7644,3771700,5.69907
"2001-08-24",57.66197,58.51061,57.42786,58.51061,2088900,5.77269
"2001-08-27",58.52523,58.52523,57.79365,57.79365,1929500,5.70195
"2001-08-28",58.08625,58.37893,57.42786,57.42786,1691500,5.66586
"2001-08-29",56.85721,58.13019,56.84258,57.93995,3211500,5.71638
"2001-08-30",57.36929,57.72046,56.47679,56.52074,3019800,5.57636
"2001-08-31",56.33049,57.35467,56.33049,57.34005,4760800,5.6572
"2001-09-03",57.64735,57.64735,56.69628,56.91577,1754000,5.61534
