"","CABK.MC.Open","CABK.MC.High","CABK.MC.Low","CABK.MC.Close","CABK.MC.Volume","CABK.MC.Adjusted"
"2007-10-10",11.081,11.081,10.654,10.694,101556900,3.664
"2007-10-11",10.756,10.837,10.694,10.776,22776600,3.691
"2007-10-12",10.857,10.857,10.735,10.817,8629800,3.705
"2007-10-15",10.878,10.919,10.756,10.756,7889400,3.685
"2007-10-16",10.776,10.776,10.654,10.694,18485100,3.664
"2007-10-17",10.694,10.878,10.674,10.796,10988100,3.698
"2007-10-18",10.837,10.898,10.796,10.857,11874900,3.719
"2007-10-19",10.878,10.898,10.817,10.898,7769800,3.733
"2007-10-22",10.735,10.796,10.654,10.715,8510800,3.671
"2007-10-23",10.735,10.796,10.715,10.715,7050000,3.671
"2007-10-24",10.735,10.756,10.633,10.633,3720600,3.643
"2007-10-25",10.715,10.735,10.45,10.674,14617600,3.657
"2007-10-26",10.674,10.694,10.593,10.613,5057300,3.636
"2007-10-29",10.674,10.694,10.572,10.613,5833000,3.636
"2007-10-30",10.593,10.694,10.572,10.694,5404100,3.664
"2007-10-31",10.654,10.674,10.572,10.674,5951200,3.657
"2007-11-01",10.674,10.674,10.572,10.572,1618600,3.622
"2007-11-02",10.531,10.694,10.491,10.694,4526600,3.664
"2007-11-05",10.613,10.674,10.572,10.613,2999300,3.636
"2007-11-06",10.633,10.694,10.593,10.694,3816000,3.664
"2007-11-07",10.633,10.633,10.45,10.511,6101500,3.601
"2007-11-08",10.511,10.531,10.369,10.511,3053200,3.601
"2007-11-09",10.552,10.572,10.348,10.409,3336000,3.566
"2007-11-12",10.389,10.491,10.369,10.369,2828000,3.552
"2007-11-13",10.389,10.491,10.287,10.491,5122500,3.594
"2007-11-14",10.531,10.531,10.409,10.45,3275900,3.58
"2007-11-15",10.45,10.47,10.287,10.287,3684000,3.524
"2007-11-16",10.328,10.369,10.226,10.328,4147500,3.538
"2007-11-19",10.45,10.613,10.267,10.328,7060400,3.538
"2007-11-20",10.43,10.47,10.287,10.328,7218200,3.538
"2007-11-21",10.307,10.348,10.185,10.185,5021900,3.489
"2007-11-22",10.246,10.328,10.124,10.185,3735900,3.489
"2007-11-23",10.226,10.267,10.083,10.144,3718000,3.475
"2007-11-26",10.144,10.287,10.144,10.287,1814400,3.524
"2007-11-27",10.185,10.348,10.185,10.287,1768400,3.524
"2007-11-28",10.246,10.633,10.246,10.613,3290900,3.636
"2007-11-29",10.572,10.735,10.409,10.694,4238000,3.664
"2007-11-30",10.694,10.735,10.593,10.694,2304800,3.664
"2007-12-03",10.593,10.694,10.572,10.694,1256800,3.664
"2007-12-04",10.674,10.674,10.511,10.633,3534600,3.643
"2007-12-05",10.613,10.674,10.593,10.674,1004300,3.657
"2007-12-06",10.674,10.715,10.654,10.674,1397900,3.657
"2007-12-07",10.694,10.694,10.511,10.511,3136000,3.601
"2007-12-10",10.572,10.654,10.511,10.613,1973800,3.636
"2007-12-11",10.654,10.735,10.613,10.735,3935900,3.678
"2007-12-12",10.633,10.654,10.491,10.531,3351700,3.608
"2007-12-13",10.531,10.613,10.389,10.389,1643000,3.559
"2007-12-14",10.43,10.613,10.409,10.593,684900,3.629
"2007-12-17",10.47,10.593,10.43,10.593,1008400,3.629
"2007-12-18",10.511,10.572,10.43,10.511,1685200,3.601
"2007-12-19",10.531,10.552,10.369,10.511,3818100,3.601
"2007-12-20",10.43,10.531,10.409,10.491,1952900,3.594
"2007-12-21",10.47,10.572,10.47,10.572,5344300,3.622
"2007-12-27",10.43,10.552,10.409,10.511,1796600,3.601
"2007-12-28",10.491,10.552,10.43,10.531,3067100,3.608
"2008-01-02",10.511,10.613,10.511,10.593,3370200,3.629
"2008-01-03",10.491,10.572,10.226,10.389,2046400,3.559
"2008-01-04",10.307,10.47,10.307,10.389,3184200,3.559
"2008-01-07",10.328,10.369,10.083,10.083,4010500,3.454
"2008-01-08",10.144,10.267,10.104,10.185,7756400,3.489
"2008-01-09",10.206,10.206,10.083,10.165,6226600,3.482
"2008-01-10",10.206,10.226,10.083,10.104,4050500,3.461
"2008-01-11",10.165,10.165,9.778,9.961,39033200,3.412
"2008-01-14",9.574,10.022,9.493,9.92,4451200,3.398
"2008-01-15",9.88,9.961,9.493,9.656,11503700,3.308
