"","POP.MC.Open","POP.MC.High","POP.MC.Low","POP.MC.Close","POP.MC.Volume","POP.MC.Adjusted"
"2001-01-01",4.17151,4.17151,4.17151,4.17151,0,15.57813
"2001-01-02",4.20526,4.25022,4.10517,4.23898,587500,15.8301
"2001-01-03",4.21649,4.23224,4.11643,4.11866,986000,15.38078
"2001-01-04",4.18277,4.18277,4.05907,4.08156,904300,15.24223
"2001-01-05",4.06245,4.11529,3.95226,3.9635,2899200,14.80133
"2001-01-08",3.9635,3.96913,3.91514,3.92414,2593100,14.65436
"2001-01-09",3.9354,3.95226,3.87918,3.87918,1636900,14.48645
"2001-01-10",3.90728,4.04221,3.90728,4.03097,2132800,15.05331
"2001-01-11",4.02535,4.20526,4.02535,4.20526,1547500,15.70415
"2001-01-12",4.22212,4.24347,4.10968,4.12655,1230500,15.41022
"2001-01-15",4.17151,4.17151,4.02535,4.0928,1028300,15.28419
"2001-01-16",4.09394,4.09843,3.99723,4.07594,810000,15.22121
"2001-01-17",4.01972,4.0928,3.99385,4.04784,2213500,15.11628
"2001-01-18",4.05345,4.08382,3.99723,4.06919,857400,15.19602
"2001-01-19",4.04784,4.06919,3.94101,3.94101,2432200,14.71734
"2001-01-22",3.96576,4.00285,3.90165,3.92977,3400300,14.67538
"2001-01-23",3.91854,4.10855,3.90279,4.10406,3000900,15.32622
"2001-01-25",4.08045,4.23224,4.05121,4.18837,4812400,15.6411
"2001-01-29",4.12655,4.12655,4.02423,4.06807,696000,15.19185
"2001-01-30",4.09731,4.16027,4.06133,4.15465,994300,15.51515
"2001-01-31",4.10406,4.12541,4.03658,4.11529,1524200,15.36818
"2001-02-01",4.07819,4.12318,4.05907,4.10406,837900,15.32622
"2001-02-02",4.10292,4.12655,4.03658,4.06133,1688200,15.16666
"2001-02-05",4.04896,4.14567,4.04784,4.14453,1504900,15.47736
"2001-02-06",4.13216,4.16027,4.08268,4.13216,810600,15.43116
"2001-02-07",4.05458,4.16027,4.05458,4.16027,749100,15.53617
"2001-02-08",4.15802,4.17714,4.12092,4.16027,1771100,15.53617
"2001-02-09",4.16139,4.18388,4.16139,4.17039,751200,15.57395
"2001-02-12",4.16027,4.20075,4.14904,4.18163,863900,15.61591
"2001-02-13",4.19737,4.20749,4.1389,4.20075,570800,15.68731
"2001-02-14",4.19963,4.21538,4.14453,4.19963,1853900,15.68313
"2001-02-15",4.19963,4.20638,4.15016,4.20526,582500,15.70415
"2001-02-16",4.20412,4.20412,4.08156,4.17151,899100,15.57813
