"","SAB.MC.Open","SAB.MC.High","SAB.MC.Low","SAB.MC.Close","SAB.MC.Volume","SAB.MC.Adjusted"
"2001-01-03",7.62691,7.62691,7.52243,7.52243,500,4.99576
"2001-01-09",7.62691,7.62691,7.52243,7.52243,200,4.99576
"2001-01-10",7.62691,7.62691,7.52243,7.52243,100,4.99576
"2001-01-11",7.62691,7.62691,7.62691,7.62691,1200,5.06514
"2001-01-12",7.62691,7.62691,7.62691,7.62691,500,5.06514
"2001-01-15",7.62691,7.62691,7.62691,7.62691,500,5.06514
"2001-01-16",7.62691,7.62691,7.62691,7.62691,200,5.06514
"2001-01-18",7.62691,7.62691,7.62691,7.62691,500,5.06514
"2001-01-19",7.62691,7.73139,7.62691,7.62691,500,5.06514
"2001-01-22",7.58512,7.58512,7.58512,7.58512,6200,5.03739
"2001-01-23",7.58512,7.58512,7.58512,7.58512,800,5.03739
"2001-01-25",7.73139,7.73139,7.73139,7.73139,400,5.13452
"2001-01-29",7.62691,7.62691,7.62691,7.62691,4200,5.06514
"2001-01-30",7.62691,7.75228,7.62691,7.75228,4400,5.1484
"2001-01-31",7.94035,8.02392,7.94035,8.02392,26700,5.3288
"2001-02-01",8.09706,8.1493,8.09706,8.1493,9300,5.41207
"2001-02-02",8.23289,8.23289,8.23289,8.23289,11600,5.46758
"2001-02-05",8.23289,8.23289,8.18064,8.23289,2100,5.46758
"2001-02-06",8.18064,8.18064,8.1493,8.1493,1700,5.41207
"2001-02-07",7.67915,8.04482,7.67915,8.03437,2400,5.33574
"2001-02-08",8.04482,8.04482,8.04482,8.04482,2200,5.34268
"2001-02-09",8.04482,8.04482,8.04482,8.04482,1100,5.34268
"2001-02-12",8.04482,8.04482,8.04482,8.04482,100,5.34268
"2001-02-13",8.04482,8.04482,8.04482,8.04482,700,5.34268
"2001-02-15",7.94035,7.94035,7.94035,7.94035,1300,5.2733
"2001-02-16",7.94035,7.94035,7.94035,7.94035,3700,5.2733
"2001-02-19",7.94035,7.94035,7.94035,7.94035,1100,5.2733
"2001-02-20",7.83795,7.94035,7.83795,7.94035,300,5.2733
"2001-02-21",7.91945,7.91945,7.8881,7.8881,3600,5.2386
"2001-02-22",7.84005,7.84005,7.84005,7.84005,1700,5.20669
"2001-02-23",7.83586,7.84005,7.83586,7.84005,700,5.20669
"2001-02-26",7.81497,7.81497,7.81497,7.81497,1400,5.19004
"2001-02-27",7.81497,7.81497,7.81497,7.81497,400,5.19004
"2001-02-28",7.77317,7.81497,7.77317,7.81497,700,5.19004
"2001-03-01",7.94035,7.94035,7.81497,7.81497,500,5.19004
"2001-03-02",7.83586,7.83586,7.81497,7.81497,100,5.19004
"2001-03-05",7.73139,7.73139,7.73139,7.73139,3200,5.13452
"2001-03-06",8.04482,8.04482,7.6896,7.73139,100,5.13452
"2001-03-07",7.73139,7.73139,7.73139,7.73139,500,5.13452
"2001-03-08",7.73139,7.73139,7.73139,7.73139,800,5.13452
"2001-03-09",7.73139,7.73139,7.73139,7.73139,100,5.13452
"2001-03-13",7.62691,7.73139,7.62691,7.73139,0,5.13452
"2001-03-16",7.6687,7.73139,7.6687,7.73139,100,5.13452
"2001-03-20",7.73139,7.73139,7.73139,7.73139,1300,5.13452
"2001-03-21",7.62691,7.73139,7.62691,7.73139,600,5.13452
"2001-03-22",7.52243,7.73139,7.52243,7.73139,3800,5.13452
"2001-03-23",7.73139,7.73139,7.73139,7.73139,700,5.13452
"2001-03-26",7.6687,7.73139,7.6687,7.73139,500,5.13452
"2001-03-27",7.64781,7.64781,7.62691,7.62691,1700,5.06514
"2001-03-28",7.52243,7.62691,7.52243,7.62691,400,5.06514
"2001-03-29",7.7105,7.7105,7.7105,7.7105,4200,5.12065
"2001-04-02",7.58512,7.58512,7.58512,7.58512,3500,5.03739
"2001-04-03",7.58512,7.58512,7.58512,7.58512,4300,5.03739
"2001-04-04",7.52243,7.58512,7.52243,7.58512,300,5.03739
"2001-04-10",7.7105,7.7105,7.58512,7.58512,100,5.03739
"2001-04-11",7.64781,7.64781,7.64781,7.64781,2600,5.07902
"2001-04-12",7.70004,7.70004,7.70004,7.70004,1000,5.11371
"2001-04-17",7.7105,7.7105,7.70004,7.70004,500,5.11371
"2001-04-18",4.78092,5.05674,4.7642,5.03167,15092000,3.3416
