"","SAN.MC.Open","SAN.MC.High","SAN.MC.Low","SAN.MC.Close","SAN.MC.Volume","SAN.MC.Adjusted"
"2001-01-01",11.74544,11.74544,11.74544,11.74544,0,4.1914
"2001-01-02",11.62178,11.83813,11.39508,11.50849,7235700,4.10685
"2001-01-03",11.35387,11.57021,11.18899,11.50849,12682700,4.10685
"2001-01-04",12.10605,12.28117,11.97204,12.17813,27303900,4.34581
"2001-01-05",12.14727,12.42544,12.01325,12.20909,28163700,4.35686
"2001-01-08",12.07508,12.43569,12.03386,12.43569,33038300,4.43772
"2001-01-09",12.23995,12.33264,12.003,12.21935,56822100,4.36052
"2001-01-10",12.20909,12.36361,12.07508,12.30178,15252400,4.38994
"2001-01-11",12.20909,12.41508,12.20909,12.36361,24150100,4.412
"2001-01-12",12.33264,12.54909,12.33264,12.44605,17969200,4.44142
"2001-01-15",12.39447,12.49752,12.32239,12.48726,14993500,4.45613
"2001-01-16",12.40483,12.46666,12.23995,12.41508,10364500,4.43037
"2001-01-17",12.36361,12.72422,12.36361,12.67264,20255000,4.52228
"2001-01-18",12.55934,12.83752,12.47691,12.75508,16437700,4.5517
"2001-01-19",12.74483,12.80665,11.91021,12.06483,38645400,4.30538
"2001-01-22",12.15752,12.343,12.08544,12.15752,13144300,4.33845
"2001-01-23",12.21935,12.47691,11.96178,12.47691,19617500,4.45243
"2001-01-25",12.42544,12.67264,12.42544,12.50787,11578300,4.46348
"2001-01-29",12.46666,12.46666,11.74544,11.91021,28379100,4.2502
"2001-01-30",11.95143,12.06483,11.80727,12.04422,36851400,4.29802
"2001-01-31",12.04422,12.36361,11.93082,12.15752,17222700,4.36382
"2001-02-01",12.14727,12.36361,12.03386,12.33264,21849600,4.42668
"2001-02-02",12.26056,12.29143,11.89996,11.94117,9508900,4.28617
"2001-02-05",11.85874,12.04422,11.80727,12.03386,28937700,4.31944
"2001-02-06",12.003,12.01325,11.84849,11.94117,12717600,4.28617
"2001-02-07",11.85874,12.19874,11.74544,12.16787,11084900,4.36754
"2001-02-08",12.12666,12.33264,12.06483,12.26056,9828600,4.40081
"2001-02-09",12.15752,12.19874,12.003,12.13691,12054800,4.35643
"2001-02-12",12.05447,12.36361,12.003,12.36361,12558400,4.4378
"2001-02-13",12.36361,12.36361,12.20909,12.36361,9285400,4.4378
"2001-02-14",12.30178,12.36361,11.92057,11.93082,10072000,4.28245
"2001-02-15",12.003,12.30178,11.99264,12.25031,12349300,4.39713
"2001-02-16",12.28117,12.28117,11.91021,12.16787,9354700,4.36754
"2001-02-19",12.04422,12.28117,12.04422,12.26056,5834700,4.40081
"2001-02-20",12.21935,12.26056,11.76605,11.76605,9251400,4.22331
"2001-02-21",11.86909,11.98239,11.58057,11.71447,12806000,4.2048
"2001-02-22",11.4363,11.67326,11.30239,11.38483,27312400,4.08647
"2001-02-23",11.58057,11.58057,11.07569,11.39508,19632700,4.09015
"2001-02-26",11.39508,11.62178,11.34361,11.51874,11994500,4.13454
"2001-02-27",11.64239,11.65265,11.34361,11.52899,22834400,4.13822
"2001-02-28",11.44666,11.70422,11.38483,11.44666,18971500,4.10867
"2001-03-01",11.48788,11.48788,11.15813,11.18899,16139000,4.01618
"2001-03-02",11.28179,11.4363,11.16849,11.36422,8674000,4.07908
"2001-03-05",11.34361,11.59082,11.33326,11.59082,10638500,4.16041
"2001-03-06",11.62178,11.83813,11.53935,11.69386,9984000,4.1974
"2001-03-07",11.69386,11.7763,11.52899,11.7763,13036200,4.22699
"2001-03-08",11.83813,11.92057,11.71447,11.71447,7898100,4.2048
"2001-03-09",11.69386,11.82788,11.52899,11.72483,13279500,4.20851
"2001-03-12",11.61143,11.62178,11.25082,11.26118,13787000,4.04209
"2001-03-13",11.23021,11.31265,11.04483,11.23021,15826500,4.03098
"2001-03-15",11.10666,11.11691,10.78727,11.02422,18474500,3.95704
"2001-03-16",10.95204,11.03448,10.61204,10.61204,23670300,3.80909
"2001-03-19",10.70483,10.78727,10.57093,10.64301,10867700,3.8202
"2001-03-20",10.6224,10.8491,10.45753,10.45753,21579100,3.75363
"2001-03-21",10.40602,10.43694,10.06602,10.12784,31123100,3.63529
"2001-03-22",10.12784,10.17935,9.60239,9.60239,28670000,3.44668
"2001-03-23",9.79815,10.08663,9.74663,9.95269,19879300,3.57242
"2001-03-26",10.26178,10.44723,10.10723,10.34421,18794100,3.71295
"2001-03-27",10.29269,10.71509,10.25147,10.71509,19643200,3.84608
"2001-03-28",10.7357,10.74605,10.28239,10.44723,20418300,3.74993
"2001-03-29",10.44723,10.61204,10.17935,10.58118,15141600,3.79801
"2001-03-30",10.48849,10.78727,10.46788,10.66362,18835100,3.8276
"2001-04-02",10.76666,10.77691,10.41633,10.69448,14616500,3.83868
"2001-04-03",10.49874,10.59143,10.12784,10.12784,24723800,3.63529
"2001-04-04",10.12784,10.48849,9.74663,10.48849,32320200,3.76474
"2001-04-05",10.44723,10.75631,10.44723,10.70483,24806100,3.8424
"2001-04-06",10.70483,10.87996,10.41633,10.71509,12777600,3.84608
"2001-04-09",10.60179,10.86971,10.55032,10.86971,10434900,3.90158
"2001-04-10",10.89032,11.05509,10.74605,11.02422,12407800,3.95704
"2001-04-11",11.02422,11.16849,10.87996,11.15813,13783900,4.0051
"2001-04-12",11.15813,11.27143,11.04483,11.27143,5781700,4.04577
"2001-04-13",11.27143,11.27143,11.27143,11.27143,0,4.04577
"2001-04-16",11.27143,11.27143,11.27143,11.27143,0,4.04577
"2001-04-17",11.06544,11.17874,10.86971,11.17874,11170400,4.0125
"2001-04-18",11.23021,11.48788,11.2096,11.42605,15168700,4.10127
"2001-04-19",11.59082,11.61143,11.35387,11.4363,20767200,4.10495
"2001-04-20",11.38483,11.49813,10.92118,10.93143,19293400,3.92373
"2001-04-23",10.81813,10.85935,10.58118,10.58118,21259600,3.79801
"2001-04-24",10.60179,10.8491,10.60179,10.76666,19924000,3.86459
"2001-04-25",10.70483,10.7357,10.44723,10.67387,15220200,3.83128
"2001-04-26",10.67387,11.23021,10.67387,11.21996,29524500,4.0273
"2001-04-27",11.17874,11.5496,11.11691,11.4363,38958600,4.10495
"2001-04-30",11.36422,11.59082,11.323,11.53935,15156300,4.14194
"2001-05-01",11.53935,11.53935,11.53935,11.53935,0,4.14194
"2001-05-02",11.53935,11.59082,11.19935,11.21996,20743200,4.0273
"2001-05-03",11.33326,11.40544,11.00361,11.06544,11323900,3.97183
"2001-05-04",11.12727,11.31265,10.94179,11.15813,12536900,4.0051
"2001-05-07",11.15813,11.15813,11.15813,11.15813,0,4.0051
"2001-05-08",11.15813,11.38483,11.14788,11.19935,7529800,4.0199
"2001-05-09",11.12727,11.39508,11.02422,11.38483,15519500,4.08647
"2001-05-10",11.39508,11.76605,11.39508,11.663,20634900,4.18632
"2001-05-11",11.60118,11.73508,11.40544,11.53935,12280400,4.14194
"2001-05-14",11.47752,11.52899,11.33326,11.45691,11841200,4.11235
"2001-05-15",11.47752,11.59082,11.33326,11.59082,6233500,4.16041
"2001-05-16",11.4363,11.52899,11.30239,11.48788,15999000,4.12346
"2001-05-17",11.57021,11.74544,11.55996,11.663,17747100,4.18632
"2001-05-18",11.68361,11.76605,11.61143,11.70422,16348800,4.20112
"2001-05-21",11.60118,11.65265,11.4363,11.62178,8335800,4.17153
"2001-05-22",11.663,11.71447,11.37447,11.46727,16540600,4.11606
"2001-05-23",11.4363,11.63204,11.37447,11.63204,9910100,4.17521
"2001-05-24",11.48788,11.55996,11.41569,11.50849,8578900,4.13086
"2001-05-25",11.52899,11.52899,11.13752,11.323,13076600,4.06428
"2001-05-28",11.323,11.45691,11.24057,11.40544,4301900,4.09387
"2001-05-29",11.41569,11.45691,11.25082,11.29204,9263300,4.05317
"2001-05-30",11.28179,11.46727,11.26118,11.31265,11771800,4.06056
"2001-05-31",11.26118,11.59082,11.23021,11.59082,13776900,4.16041
"2001-06-01",11.51874,11.51874,11.35387,11.35387,9636800,4.07536
"2001-06-04",11.45691,11.62178,11.42605,11.59082,9880600,4.16041
"2001-06-05",11.53935,11.62178,11.41569,11.61143,9438600,4.16781
"2001-06-06",11.63204,11.68361,11.53935,11.60118,6149500,4.16413
"2001-06-07",11.60118,11.64239,11.46727,11.49813,9485400,4.12714
"2001-06-08",11.58057,11.68361,11.52899,11.5496,8770100,4.14562
"2001-06-11",11.48788,11.62178,11.45691,11.57021,10487000,4.15301
"2001-06-12",11.58057,11.58057,11.323,11.33326,18227900,4.06796
"2001-06-13",11.42605,11.48788,11.323,11.4363,10461700,4.10495
"2001-06-14",11.38483,11.45691,11.37447,11.45691,7200600,4.11235
"2001-06-15",11.35387,11.50849,11.25082,11.40544,25480800,4.09387
"2001-06-18",11.23021,11.27143,10.86971,10.93143,23932500,3.92373
"2001-06-19",11.00361,11.12727,10.87996,11.03448,36927000,3.96072
"2001-06-20",11.0963,11.17874,10.86971,11.17874,18628700,4.0125
"2001-06-21",11.2096,11.2096,10.91093,10.95204,25605000,3.93113
"2001-06-22",11.00361,11.16849,10.83874,10.9624,20449800,3.93485
"2001-06-25",10.93143,11.12727,10.89032,10.92118,14644700,3.92005
"2001-06-26",10.93143,11.01387,10.71509,10.83874,17659800,3.89046
"2001-06-27",10.92118,11.07569,10.92118,10.94179,19011300,3.92745
"2001-06-28",11.01387,11.04483,10.67387,10.95204,30317900,3.93113
"2001-06-29",11.06544,11.08605,10.78727,11.02422,29035500,3.95704
"2001-07-02",11.04483,11.50849,10.99326,11.4363,23993200,4.10495
"2001-07-03",11.53935,11.53935,11.24057,11.33326,23534900,4.06796
"2001-07-04",11.17874,11.25082,10.9624,11.00361,21590500,3.94964
"2001-07-05",10.92118,11.0963,10.8491,10.92118,15548900,3.92005
"2001-07-06",10.79752,10.87996,10.21027,10.21027,42545200,3.66488
"2001-07-09",10.29269,10.48849,10.04541,10.40602,35660700,3.73514
"2001-07-10",10.66362,10.75631,10.36481,10.43694,29854100,3.74624
"2001-07-11",10.12784,10.29269,9.83935,9.91148,33076300,3.55763
"2001-07-12",10.19996,10.24117,9.66421,9.78784,36508100,3.51325
"2001-07-13",9.78784,9.78784,9.78784,9.78784,0,3.51325
"2001-07-16",10.09694,10.17935,9.91148,10.03511,12126600,3.60201
"2001-07-17",9.9836,10.3236,9.96299,10.17935,21531600,3.65378
"2001-07-18",10.30299,10.3236,9.80845,9.87027,22036400,3.54284
"2001-07-19",9.90117,10.10723,9.77754,10.10723,31797100,3.62789
"2001-07-20",10.02482,10.11754,9.88057,10.08663,32516200,3.6205
"2001-07-23",10.04541,10.41633,10.00421,10.19996,18913500,3.66118
"2001-07-24",10.14845,10.24117,10.04541,10.09694,21097900,3.6242
"2001-07-25",10.09694,10.17935,9.69511,9.70542,22242400,3.48366
"2001-07-26",9.81876,9.91148,9.70542,9.79815,20297200,3.51695
"2001-07-27",9.88057,9.94239,9.70542,9.83935,19617500,3.53174
"2001-07-30",9.96299,10.25147,9.90117,10.19996,16549700,3.66118
"2001-07-31",10.13815,10.39572,9.9939,10.35451,17134900,3.74587
"2001-08-01",10.37511,10.49874,10.26178,10.36481,12153500,3.7496
"2001-08-02",10.27208,10.55032,10.25147,10.38541,22685400,3.75705
"2001-08-03",10.44723,10.46788,10.30299,10.30299,10064600,3.72723
"2001-08-06",10.28239,10.51935,10.28239,10.45753,12210200,3.78314
"2001-08-07",10.45753,10.45753,10.25147,10.37511,18126400,3.75332
"2001-08-08",10.36481,10.37511,10.16905,10.22057,10375700,3.69742
"2001-08-09",10.14845,10.24117,9.96299,10.00421,11641700,3.61914
"2001-08-10",10.09694,10.22057,9.73633,9.91148,13935200,3.5856
"2001-08-13",10.02482,10.25147,9.96299,10.18966,16677100,3.68623
"2001-08-14",10.27208,10.46788,10.19996,10.31329,12798800,3.73096
"2001-08-15",10.31329,10.31329,10.31329,10.31329,0,3.73096
"2001-08-16",10.23088,10.29269,10.00421,10.25147,14934500,3.7086
"2001-08-17",10.31329,10.38541,9.81876,9.89088,24612100,3.57814
"2001-08-20",9.92178,9.94239,9.68482,9.90117,12294800,3.58187
"2001-08-21",9.97329,10.12784,9.89088,9.89088,11738900,3.57814
"2001-08-22",9.9939,10.28239,9.88057,10.16905,19365600,3.67878
"2001-08-23",10.28239,10.42663,10.23088,10.37511,19107900,3.75332
"2001-08-24",10.40602,10.65326,10.35451,10.65326,16289700,3.85395
"2001-08-27",10.66362,10.81813,10.61204,10.71509,9117100,3.87631
"2001-08-28",10.71509,10.78727,10.41633,10.52971,14846400,3.80925
"2001-08-29",10.46788,10.74605,10.37511,10.65326,15682000,3.85395
"2001-08-30",10.63265,10.71509,10.27208,10.29269,61424600,3.72351
"2001-08-31",10.26178,10.45753,10.14845,10.3339,14637300,3.73841
"2001-09-03",10.44723,10.44723,10.07633,10.21027,12729200,3.69369
"2001-09-04",10.30299,10.44723,10.14845,10.36481,13239000,3.7496
"2001-09-05",10.25147,10.30299,10.02482,10.10723,17591100,3.65641
"2001-09-06",10.17935,10.21027,9.82905,9.84966,19686000,3.56323
"2001-09-07",9.81876,9.89088,9.60239,9.68482,29522800,3.5036
"2001-09-10",9.6539,9.73633,9.28299,9.46845,21250400,3.42533
"2001-09-11",9.50966,9.66421,8.58239,9.12845,26622400,3.30233
"2001-09-12",8.43815,9.36542,8.43815,8.89148,27442500,3.2166
"2001-09-13",8.81936,8.98421,8.69572,8.86058,16487900,3.20542
"2001-09-14",8.75754,8.9636,7.98482,7.98482,27128000,2.88861
"2001-09-17",7.9127,8.49997,7.5727,8.49997,30150900,3.07497
"2001-09-18",8.49997,8.49997,7.98482,8.2424,25211700,2.98179
"2001-09-19",8.2836,8.36603,7.88179,8.06724,31028000,2.91842
"2001-09-20",8.08785,8.15997,7.60361,7.66542,32509800,2.77306
"2001-09-21",7.52118,7.62422,6.92361,7.13997,44470500,2.58297
"2001-09-24",7.39755,8.00542,7.39755,7.86118,34752900,2.84388
"2001-09-25",7.98482,8.29391,7.74785,8.15997,43261600,2.95197
"2001-09-26",8.12906,8.58239,8.04664,8.20118,41188500,2.96688
"2001-09-27",8.12906,8.6236,8.07754,8.6236,33589600,3.11969
"2001-09-28",8.6236,8.6236,8.6236,8.6236,0,3.11969
"2001-10-01",8.72664,8.72664,8.19088,8.38664,20911600,3.03397
"2001-10-02",8.38664,8.6133,8.20118,8.56179,43900000,3.09733
"2001-10-03",8.41754,8.58239,8.2424,8.43815,32852900,3.0526
"2001-10-04",8.56179,8.81936,8.46906,8.81936,36241800,3.19051
"2001-10-05",8.55148,8.68542,8.2733,8.39694,54818000,3.0377
"2001-10-08",8.2424,8.55148,7.99512,8.46906,21718400,3.06378
"2001-10-09",8.40724,8.67512,8.34542,8.55148,12982800,3.0936
"2001-10-10",8.47936,8.97391,8.35573,8.9636,23464400,3.24269
"2001-10-11",9.04603,9.37572,8.89148,8.92239,29412900,3.22778
"2001-10-12",8.92239,8.92239,8.92239,8.92239,0,3.22778
"2001-10-15",8.86058,9.08724,8.6236,8.75754,21424100,3.16815
"2001-10-16",8.75754,8.75754,8.75754,8.75754,0,3.16815
"2001-10-17",9.24178,9.6127,9.17997,9.53027,34895400,3.44769
"2001-10-18",9.3036,9.48905,9.25209,9.43754,22371600,3.41414
"2001-10-19",9.42723,9.43754,8.97391,9.04603,21961900,3.27251
"2001-10-22",9.15936,9.37572,9.03572,9.3139,24365100,3.36942
"2001-10-23",9.47876,9.6127,9.41694,9.57148,25049500,3.4626
"2001-10-24",9.43754,9.89088,9.43754,9.85996,27669700,3.56696
"2001-10-25",9.82905,9.94239,9.42723,9.51997,21223300,3.44396
"2001-10-26",9.51997,9.51997,9.51997,9.51997,0,3.44396
"2001-10-29",9.54057,9.58178,9.03572,9.15936,32550500,3.31351
"2001-10-30",8.86058,8.90178,8.67512,8.70603,39351600,3.14951
"2001-10-31",8.65452,9.05633,8.58239,8.80905,27149600,3.21617
"2001-11-01",8.79876,9.06664,8.65452,9.00482,14747600,3.28765
"2001-11-02",9.09754,9.17997,8.77815,8.9533,24855300,3.26884
"2001-11-05",9.01511,9.53027,8.99451,9.44784,31473600,3.4494
"2001-11-06",9.60239,9.69511,9.48905,9.6539,24955900,3.52463
"2001-11-07",9.47876,9.71572,9.42723,9.67451,18683600,3.53215
